state,n_districts,geographic_sorting,sorting_pvalue,n_tracts,urban_percent,significant
kentucky,6,0.7781863569245498,1.1073486965573138e-263,1296,40.22421472373102,True
nebraska,3,0.7705463668324462,2.8630496945662544e-109,550,56.531255945184235,True
missouri,8,0.7323211739564081,2.5836354443377383e-277,1650,52.49232547810638,True
kansas,4,0.7137824249364905,6.961692161577164e-128,815,54.18288488813676,True
minnesota,8,0.7044203183011319,5.626435101580312e-225,1498,56.313312855368935,True
indiana,9,0.6762160913735191,2.3857076759549603e-225,1683,54.14849841560855,True
west_virginia,2,0.6549363595216761,4.527324912120009e-68,545,22.30569882252441,True
oklahoma,5,0.651381164332989,3.216719426697648e-145,1195,46.87565675497336,True
ohio,15,0.6505064705369008,0.0,3150,60.026414795368844,True
pennsylvania,17,0.6374690579931463,0.0,3399,61.18443424852978,True
oregon,6,0.6268961940949853,1.927334651715739e-109,992,66.15364244246047,True
nevada,4,0.6239115825636408,2.6940913780950434e-84,770,85.23298664381291,True
iowa,4,0.6150573503598596,4.773437047446264e-94,893,41.8351554962824,True
north_carolina,14,0.6073687115572963,3.46666743042547e-266,2642,42.481904160192144,True
tennessee,9,0.6073141642049259,6.731715520567321e-170,1680,43.13500292664141,True
michigan,13,0.60588192412295,4.258137056363209e-290,2899,59.43850288557935,True
wisconsin,8,0.5922493691944752,6.0032886524931004e-145,1524,48.12807012256812,True
rhode_island,2,0.590944222613068,1.4872925137895617e-24,246,74.37223364007116,True
connecticut,5,0.5841970358371923,5.090243764429436e-81,873,64.27428947201118,True
massachusetts,9,0.5537574913694695,1.0867965540985531e-128,1593,70.79026445936368,True
colorado,8,0.5493714118038703,1.0598403095301983e-113,1432,72.34233128100524,True
arkansas,4,0.5471285699919056,2.7456246862255577e-65,821,29.439587924192022,True
alabama,7,0.5242580580824131,8.935827318398038e-102,1430,33.314102509080996,True
illinois,17,0.5067316290217158,4.86321506888253e-212,3257,73.7467132383634,True
idaho,2,0.5061448432153701,4.8868925968373075e-31,456,52.099817199023924,True
maryland,8,0.5042105852219372,1.162596387950413e-94,1455,72.82141120414256,True
montana,2,0.5032243984300914,9.4019798357906e-22,317,33.28532878718665,True
louisiana,6,0.49982764915454464,4.165491165708129e-87,1364,47.642356841377726,True
texas,38,0.499397097730624,0.0,6831,71.19412370167012,True
washington,10,0.4954261992056812,3.3217252142621666e-110,1769,69.41854637592321,True
georgia,14,0.48919153263000803,3.082264536519091e-167,2780,53.59619321073896,True
new_york,26,0.4842998133489314,5.921039203289564e-308,5267,79.76440401870391,True
utah,4,0.47942715163896205,4.995999689929855e-42,709,73.88354231462608,True
virginia,11,0.4746742884601875,7.376732031087412e-122,2161,63.94588169871335,True
new_jersey,12,0.4585727567063855,4.8312987937723205e-113,2165,82.34012175904385,True
california,52,0.45285353130702294,0.0,9048,87.16270002688708,True
maine,2,0.442428923296158,1.3337271148242064e-20,400,16.171461600134247,True
arizona,9,0.4228073012791383,3.4735548461480844e-76,1735,77.11195495328728,True
mississippi,4,0.4000968001787935,8.119186741574492e-35,871,25.161955641408728,True
south_carolina,7,0.36393998046598997,3.5343227653330384e-42,1306,41.09812458644447,True
florida,28,0.2896399099699679,1.446957060091015e-98,5070,75.48989193721013,True
new_mexico,3,0.26887598456827105,2.1412872677401146e-11,600,52.72002521672411,True
new_hampshire,2,0.2620605174901997,7.390083581859941e-07,347,29.51926000041321,True
