GEOID,district,total_pop,minority_pop,method,year,state
13099090500,6,1726,461,nway,2020,georgia
13099090400,6,3686,2380,nway,2020,georgia
13099090200,6,2788,1853,nway,2020,georgia
13067031209,9,4719,1660,nway,2020,georgia
13067031207,9,5182,2734,nway,2020,georgia
13067030507,9,5253,2088,nway,2020,georgia
13067030506,9,4672,2356,nway,2020,georgia
13057090101,10,4224,445,nway,2020,georgia
13057090606,10,4499,1372,nway,2020,georgia
13057090605,10,3855,2241,nway,2020,georgia
13057090710,10,3998,790,nway,2020,georgia
13057090703,10,4699,1231,nway,2020,georgia
13057090301,10,5785,1088,nway,2020,georgia
13057091009,10,6559,1905,nway,2020,georgia
13057090504,10,5117,783,nway,2020,georgia
13057090202,10,6655,704,nway,2020,georgia
13057090705,10,2783,474,nway,2020,georgia
13057090201,10,2455,220,nway,2020,georgia
13057090402,10,6801,1981,nway,2020,georgia
13057090808,10,6407,1057,nway,2020,georgia
13057090911,10,5363,1188,nway,2020,georgia
13057091011,10,4236,1481,nway,2020,georgia
13057090912,10,4006,904,nway,2020,georgia
13057090805,10,5151,934,nway,2020,georgia
13057090708,10,5280,1530,nway,2020,georgia
13057090303,10,6645,1057,nway,2020,georgia
13057090807,10,7593,1534,nway,2020,georgia
13057090603,10,6216,1895,nway,2020,georgia
13057090810,10,4509,996,nway,2020,georgia
13057090505,10,5803,910,nway,2020,georgia
13057090503,10,4680,727,nway,2020,georgia
13057090809,10,4062,695,nway,2020,georgia
13057090302,10,2478,325,nway,2020,georgia
13057090604,10,3555,1521,nway,2020,georgia
13057090507,10,2142,229,nway,2020,georgia
13057090506,10,4471,500,nway,2020,georgia
13057090102,10,5376,797,nway,2020,georgia
13057090103,10,2121,192,nway,2020,georgia
13057090704,10,3777,788,nway,2020,georgia
13057090401,10,5566,3006,nway,2020,georgia
13057090707,10,4423,1599,nway,2020,georgia
13057091106,10,4832,1888,nway,2020,georgia
13247060403,0,3749,2306,nway,2020,georgia
13247060306,0,4259,3681,nway,2020,georgia
13247060305,0,5597,4798,nway,2020,georgia
13247060101,0,3605,1654,nway,2020,georgia
13247060406,0,5509,3484,nway,2020,georgia
13247060407,0,3599,2057,nway,2020,georgia
13247060201,0,4703,3948,nway,2020,georgia
13215011100,6,2502,1144,nway,2020,georgia
13153021108,5,6793,2270,nway,2020,georgia
13121011417,12,5115,1151,nway,2020,georgia
13121011416,12,5612,1589,nway,2020,georgia
13121011421,12,3933,2826,nway,2020,georgia
13179990000,3,0,0,nway,2020,georgia
13195020300,1,4581,1073,nway,2020,georgia
13195020100,1,5398,610,nway,2020,georgia
13195020400,1,6240,1852,nway,2020,georgia
13195020600,1,2060,163,nway,2020,georgia
13195020200,1,4278,519,nway,2020,georgia
13285961000,5,5574,2647,nway,2020,georgia
13285960300,2,4347,700,nway,2020,georgia
13285960501,2,4890,3139,nway,2020,georgia
13185010500,6,4022,3524,nway,2020,georgia
13121011426,12,2432,1023,nway,2020,georgia
13121011618,12,4647,2431,nway,2020,georgia
13121011612,12,3462,1327,nway,2020,georgia
13121007705,8,3969,3933,nway,2020,georgia
13121009601,9,2979,1128,nway,2020,georgia
13121010121,9,2518,814,nway,2020,georgia
13185010601,6,6070,4206,nway,2020,georgia
13117130105,13,2578,789,nway,2020,georgia
13135050308,12,3800,1122,nway,2020,georgia
13285960800,5,3173,2302,nway,2020,georgia
13135050306,7,4307,3888,nway,2020,georgia
13185011302,6,2243,1778,nway,2020,georgia
13179010103,3,1827,965,nway,2020,georgia
13179010205,3,4911,3524,nway,2020,georgia
13285960901,5,4158,2926,nway,2020,georgia
13185010900,6,1631,1350,nway,2020,georgia
13089022800,7,4297,1450,nway,2020,georgia
13089022900,7,4544,1797,nway,2020,georgia
13115002100,11,4753,2537,nway,2020,georgia
13185011402,6,2470,1503,nway,2020,georgia
13285960600,2,5335,3522,nway,2020,georgia
13285961100,5,2757,350,nway,2020,georgia
13285960700,5,5506,3011,nway,2020,georgia
13089021412,7,4050,1088,nway,2020,georgia
13089023601,7,2756,1799,nway,2020,georgia
13089021307,7,3951,2995,nway,2020,georgia
13089021415,7,4175,1817,nway,2020,georgia
13089021417,7,4310,3372,nway,2020,georgia
13089021305,7,5526,4384,nway,2020,georgia
13185011100,6,4084,2232,nway,2020,georgia
13141480300,1,2725,1405,nway,2020,georgia
13121011505,12,4316,924,nway,2020,georgia
13121011422,12,3746,1204,nway,2020,georgia
13121011424,12,5435,2036,nway,2020,georgia
13185011301,6,4851,3413,nway,2020,georgia
13089023000,7,2182,454,nway,2020,georgia
13089023101,7,4281,3097,nway,2020,georgia
13089023102,7,3289,1992,nway,2020,georgia
13089021306,7,6076,5063,nway,2020,georgia
13089021308,7,4380,3441,nway,2020,georgia
13089021913,7,4854,4609,nway,2020,georgia
13089022203,7,2435,1374,nway,2020,georgia
13241970302,10,1591,178,nway,2020,georgia
