GEOID,district,total_pop,minority_pop,method,year,state
22071001739,6,1439,1427,true_recursive,2010,louisiana
22071001737,6,2463,2323,true_recursive,2010,louisiana
22071001735,6,2261,2249,true_recursive,2010,louisiana
22071001743,4,2006,1917,true_recursive,2010,louisiana
22071001744,4,3966,3941,true_recursive,2010,louisiana
22071001746,4,4296,4197,true_recursive,2010,louisiana
22071001747,4,3510,3429,true_recursive,2010,louisiana
22071001748,4,3773,3608,true_recursive,2010,louisiana
22071001750,4,3289,3245,true_recursive,2010,louisiana
22071001751,2,836,745,true_recursive,2010,louisiana
22071001900,3,1586,1310,true_recursive,2010,louisiana
22071002503,2,1584,1177,true_recursive,2010,louisiana
22071001736,2,1754,1736,true_recursive,2010,louisiana
22071001740,2,4130,4100,true_recursive,2010,louisiana
22071002200,3,1058,1025,true_recursive,2010,louisiana
22071001741,3,1376,1346,true_recursive,2010,louisiana
22071001800,3,1381,291,true_recursive,2010,louisiana
22071001745,2,3284,3185,true_recursive,2010,louisiana
22071001749,3,2511,2487,true_recursive,2010,louisiana
22071002100,3,856,841,true_recursive,2010,louisiana
22071002401,3,1615,1452,true_recursive,2010,louisiana
22071002402,2,2849,2633,true_recursive,2010,louisiana
22071002504,2,2162,1692,true_recursive,2010,louisiana
22071002600,3,1592,437,true_recursive,2010,louisiana
22071002700,2,1475,1334,true_recursive,2010,louisiana
22071002800,2,1426,1411,true_recursive,2010,louisiana
22071002900,2,1156,1132,true_recursive,2010,louisiana
22071003100,2,1084,1067,true_recursive,2010,louisiana
22071003301,3,1580,993,true_recursive,2010,louisiana
22071003302,2,2647,2426,true_recursive,2010,louisiana
22071003303,3,1765,1449,true_recursive,2010,louisiana
22071003304,2,1745,1610,true_recursive,2010,louisiana
22071003308,2,3186,3065,true_recursive,2010,louisiana
22071003701,2,1722,1241,true_recursive,2010,louisiana
22071002300,2,1815,1743,true_recursive,2010,louisiana
22071002501,2,1573,1424,true_recursive,2010,louisiana
22071002502,2,1832,1770,true_recursive,2010,louisiana
22071003307,2,1187,1165,true_recursive,2010,louisiana
22071003000,3,1100,1083,true_recursive,2010,louisiana
22071003500,3,1231,1146,true_recursive,2010,louisiana
22071003600,2,1493,1369,true_recursive,2010,louisiana
22071003702,2,3470,2498,true_recursive,2010,louisiana
22071003800,3,1475,146,true_recursive,2010,louisiana
22071003900,2,1195,756,true_recursive,2010,louisiana
22071004000,3,1860,1629,true_recursive,2010,louisiana
22071004100,3,1425,403,true_recursive,2010,louisiana
22071004402,2,0,0,true_recursive,2010,louisiana
22071004500,3,2104,1662,true_recursive,2010,louisiana
22071004600,3,2704,463,true_recursive,2010,louisiana
22071004800,3,1238,1236,true_recursive,2010,louisiana
22071004900,3,1811,1654,true_recursive,2010,louisiana
22071005000,2,1247,939,true_recursive,2010,louisiana
22101041600,2,2051,1777,true_recursive,2010,louisiana
22071005400,2,1909,688,true_recursive,2010,louisiana
22071002000,2,1317,1250,true_recursive,2010,louisiana
22071003400,2,1222,969,true_recursive,2010,louisiana
22101041200,2,2160,1541,true_recursive,2010,louisiana
22101041300,2,2102,846,true_recursive,2010,louisiana
22101041400,2,3398,2011,true_recursive,2010,louisiana
