State,Plan,District,Total Population,Pct Non-White,Pct Black,Pct Hispanic,Pct Asian,Primary Minority,Coalition
Alabama,Enacted,1,717754,62.1%,53.1%,4.6%,1.3%,Black,No
Alabama,Enacted,2,717754,61.0%,53.2%,3.3%,1.3%,Black,No
Arizona,Algorithmic,7,794611,53.7%,3.4%,37.8%,4.2%,Hispanic,Yes
Arizona,Enacted,1,794611,79.1%,3.7%,63.7%,3.0%,Hispanic,No
Arizona,Enacted,2,794611,64.7%,3.7%,50.6%,3.4%,Hispanic,No
Arizona,Enacted,3,794611,81.3%,3.3%,67.7%,2.3%,Hispanic,No
California,Algorithmic,1,760350,54.9%,4.9%,30.0%,14.0%,Hispanic,Yes
California,Algorithmic,2,760350,54.2%,4.6%,29.5%,14.7%,Hispanic,Yes
California,Algorithmic,3,760350,75.5%,3.8%,49.6%,16.5%,Hispanic,Yes
California,Algorithmic,4,760350,75.0%,3.7%,53.9%,12.6%,Hispanic,No
California,Algorithmic,5,760350,56.6%,6.5%,25.9%,19.0%,Hispanic,Yes
California,Algorithmic,6,760350,63.1%,4.0%,43.1%,11.1%,Hispanic,Yes
California,Algorithmic,7,760350,68.5%,5.3%,39.3%,18.3%,Hispanic,Yes
California,Algorithmic,8,760350,68.1%,4.0%,41.5%,16.9%,Hispanic,Yes
California,Algorithmic,9,760350,78.9%,7.2%,51.9%,14.8%,Hispanic,No
California,Algorithmic,10,760350,63.8%,6.3%,37.5%,15.0%,Hispanic,Yes
California,Algorithmic,11,760350,73.4%,5.8%,51.3%,10.8%,Hispanic,No
California,Algorithmic,12,760350,68.7%,5.4%,40.5%,16.8%,Hispanic,Yes
California,Algorithmic,13,760350,63.1%,5.6%,32.6%,19.5%,Hispanic,Yes
California,Algorithmic,14,760350,68.6%,5.4%,39.5%,18.9%,Hispanic,Yes
California,Algorithmic,15,760350,71.9%,3.7%,43.0%,18.9%,Hispanic,Yes
California,Algorithmic,16,760350,62.9%,5.7%,32.5%,19.1%,Hispanic,Yes
California,Algorithmic,17,760350,69.1%,5.7%,44.0%,14.4%,Hispanic,Yes
California,Algorithmic,18,760350,58.0%,5.0%,30.9%,17.6%,Hispanic,Yes
California,Algorithmic,19,760350,53.2%,3.4%,29.9%,15.1%,Hispanic,Yes
California,Algorithmic,20,760350,56.3%,6.2%,31.5%,13.1%,Hispanic,Yes
California,Algorithmic,21,760350,71.9%,4.4%,51.2%,11.8%,Hispanic,No
California,Algorithmic,22,760350,64.5%,6.7%,37.0%,14.9%,Hispanic,Yes
California,Algorithmic,23,760350,62.3%,5.8%,38.2%,13.7%,Hispanic,Yes
California,Algorithmic,24,760350,60.5%,4.2%,31.6%,18.8%,Hispanic,Yes
California,Algorithmic,25,760350,68.5%,7.1%,39.6%,15.9%,Hispanic,Yes
California,Algorithmic,26,760350,69.7%,5.1%,42.0%,18.1%,Hispanic,Yes
California,Algorithmic,27,760350,68.9%,5.3%,46.9%,12.4%,Hispanic,Yes
California,Algorithmic,28,760350,78.0%,3.6%,52.7%,16.4%,Hispanic,No
California,Algorithmic,29,760350,73.0%,4.0%,47.0%,17.5%,Hispanic,Yes
California,Algorithmic,31,760350,61.2%,6.6%,37.5%,12.5%,Hispanic,Yes
California,Algorithmic,32,760350,51.2%,4.6%,30.8%,10.9%,Hispanic,Yes
California,Algorithmic,33,760350,55.9%,5.9%,33.3%,11.2%,Hispanic,Yes
California,Algorithmic,34,760350,56.5%,5.0%,33.5%,11.9%,Hispanic,Yes
California,Algorithmic,35,760350,59.3%,4.1%,33.7%,16.0%,Hispanic,Yes
California,Algorithmic,36,760350,73.8%,5.6%,46.4%,15.4%,Hispanic,Yes
California,Algorithmic,37,760350,74.0%,3.1%,50.7%,14.9%,Hispanic,No
California,Algorithmic,38,760350,53.1%,6.5%,25.9%,16.1%,Hispanic,Yes
California,Algorithmic,39,760350,73.2%,4.7%,48.7%,15.0%,Hispanic,Yes
California,Algorithmic,40,760350,59.2%,4.5%,36.1%,12.3%,Hispanic,Yes
California,Algorithmic,41,760350,58.0%,7.1%,33.3%,13.1%,Hispanic,Yes
California,Algorithmic,42,760350,76.4%,3.7%,51.6%,16.3%,Hispanic,No
California,Algorithmic,43,760350,70.0%,4.0%,47.5%,14.2%,Hispanic,Yes
California,Algorithmic,44,760350,61.0%,6.6%,37.5%,12.5%,Hispanic,Yes
California,Algorithmic,45,760350,55.1%,5.6%,28.7%,15.4%,Hispanic,Yes
California,Algorithmic,46,760350,80.4%,6.6%,49.0%,19.5%,Hispanic,Yes
California,Algorithmic,47,760350,80.2%,6.1%,51.1%,18.3%,Hispanic,No
California,Algorithmic,48,760350,78.8%,5.3%,53.0%,14.7%,Hispanic,No
California,Algorithmic,49,760350,73.2%,3.1%,54.6%,10.7%,Hispanic,No
California,Algorithmic,50,760350,66.8%,7.0%,36.9%,17.7%,Hispanic,Yes
California,Algorithmic,51,760350,79.5%,3.8%,53.0%,16.9%,Hispanic,No
California,Algorithmic,52,760350,60.8%,3.3%,40.5%,11.9%,Hispanic,Yes
California,Enacted,1,760350,86.7%,5.1%,67.3%,8.9%,Hispanic,No
California,Enacted,2,760350,70.9%,3.2%,51.2%,10.4%,Hispanic,No
California,Enacted,3,760350,81.5%,3.4%,62.2%,11.5%,Hispanic,No
