GEOID,district,total_pop,minority_pop,method,year,state
13021012800,7,3260,2878,nway,2010,georgia
13021013102,7,4340,3622,nway,2010,georgia
13021012600,7,4171,3496,nway,2010,georgia
13021012700,7,2184,2070,nway,2010,georgia
13021012900,12,1837,1344,nway,2010,georgia
13021013101,12,6119,5214,nway,2010,georgia
13021013201,12,6034,5191,nway,2010,georgia
13021013202,12,2952,2528,nway,2010,georgia
13021013302,12,4420,3405,nway,2010,georgia
13021013407,12,4229,1953,nway,2010,georgia
13021013408,13,4418,942,nway,2010,georgia
13021013409,12,4143,1387,nway,2010,georgia
13021013410,12,5582,874,nway,2010,georgia
13021013502,12,1927,420,nway,2010,georgia
13021013503,12,2114,883,nway,2010,georgia
13021013504,12,8575,2325,nway,2010,georgia
13021013603,12,4453,1497,nway,2010,georgia
13021013604,12,4798,1707,nway,2010,georgia
13021013605,12,5454,2363,nway,2010,georgia
13021013606,13,6013,1838,nway,2010,georgia
13021013411,12,4039,1613,nway,2010,georgia
13021013700,3,3233,1850,nway,2010,georgia
13021013800,3,1931,1821,nway,2010,georgia
13021013900,3,2070,1217,nway,2010,georgia
13027960300,3,5801,1476,nway,2010,georgia
13027960400,3,3601,2157,nway,2010,georgia
13027960500,3,2576,1737,nway,2010,georgia
13029920305,3,4012,817,nway,2010,georgia
13023790200,3,2651,1409,nway,2010,georgia
13023790100,3,4849,710,nway,2010,georgia
13023790300,3,5563,1944,nway,2010,georgia
13027960200,3,1660,474,nway,2010,georgia
13027960600,3,2605,974,nway,2010,georgia
13029920102,3,4967,1430,nway,2010,georgia
13029920301,3,1858,422,nway,2010,georgia
13029920306,3,9485,1557,nway,2010,georgia
13029920101,3,4771,722,nway,2010,georgia
13029920303,3,5140,1839,nway,2010,georgia
13025960100,3,6832,455,nway,2010,georgia
13025960200,3,6224,436,nway,2010,georgia
13025960300,3,5355,322,nway,2010,georgia
13029980000,3,0,0,nway,2010,georgia
13031110401,3,3355,1999,nway,2010,georgia
13031110100,3,3981,1254,nway,2010,georgia
13031110300,3,7988,2323,nway,2010,georgia
13031110200,2,8323,3717,nway,2010,georgia
13031110500,6,4045,1109,nway,2010,georgia
13031110602,3,3983,1967,nway,2010,georgia
13031110403,3,6801,3054,nway,2010,georgia
13031110404,3,7267,3058,nway,2010,georgia
13031110601,3,5785,1986,nway,2010,georgia
13031110700,3,9197,1780,nway,2010,georgia
13031110800,5,2542,828,nway,2010,georgia
13031110900,5,6950,891,nway,2010,georgia
13063040522,5,4926,4476,nway,2010,georgia
13063040523,5,2802,2584,nway,2010,georgia
13063040520,5,3792,3753,nway,2010,georgia
13063040521,5,3054,2604,nway,2010,georgia
13063040524,5,6366,5819,nway,2010,georgia
13063040525,1,2707,2504,nway,2010,georgia
13063040526,1,5671,5148,nway,2010,georgia
13063040609,1,6283,4786,nway,2010,georgia
13063040611,6,6671,5598,nway,2010,georgia
13063040613,6,7996,5743,nway,2010,georgia
13063040615,6,1954,1625,nway,2010,georgia
13063040616,6,8429,7351,nway,2010,georgia
13063040617,6,1557,1184,nway,2010,georgia
13063040619,13,3001,2792,nway,2010,georgia
13063040620,13,3430,2868,nway,2010,georgia
13063040621,13,9202,8050,nway,2010,georgia
13063040622,13,7446,6408,nway,2010,georgia
13063980000,13,0,0,nway,2010,georgia
13063040612,13,6891,5414,nway,2010,georgia
13063040606,13,3624,2330,nway,2010,georgia
13063040608,13,11426,9432,nway,2010,georgia
13063040614,13,4680,2288,nway,2010,georgia
13063040411,13,12101,10621,nway,2010,georgia
13063040512,13,5076,4792,nway,2010,georgia
13067030223,13,6146,2329,nway,2010,georgia
13067030219,13,9743,1711,nway,2010,georgia
13067030209,13,6757,1731,nway,2010,georgia
13067030218,13,4775,819,nway,2010,georgia
13067030220,13,1664,506,nway,2010,georgia
13061960300,13,3183,1995,nway,2010,georgia
13065970100,13,5239,1553,nway,2010,georgia
13065970200,13,1559,709,nway,2010,georgia
13067030101,13,7062,1318,nway,2010,georgia
13067030103,6,9045,3319,nway,2010,georgia
13067030104,6,3721,1447,nway,2010,georgia
13067030222,6,5987,1420,nway,2010,georgia
13067030107,6,4648,1987,nway,2010,georgia
13067030106,4,6857,3542,nway,2010,georgia
13067030214,4,8194,2318,nway,2010,georgia
13067030215,4,8716,2965,nway,2010,georgia
13067030224,4,6257,2537,nway,2010,georgia
13067030226,4,9648,3993,nway,2010,georgia
13067030227,2,7281,2765,nway,2010,georgia
13067030228,2,6394,2552,nway,2010,georgia
13067030229,2,5695,1624,nway,2010,georgia
13067030233,7,4275,1401,nway,2010,georgia
13067030230,7,12572,5493,nway,2010,georgia
13067030231,7,7688,1076,nway,2010,georgia
13067030232,7,5758,2366,nway,2010,georgia
13067030234,7,5657,1358,nway,2010,georgia
13067030235,7,4988,996,nway,2010,georgia
13067030236,7,4636,573,nway,2010,georgia
13067030238,6,6505,911,nway,2010,georgia
13067030239,6,7610,1065,nway,2010,georgia
13089021603,6,5145,1974,nway,2010,georgia
13089021604,6,3132,503,nway,2010,georgia
13089021503,6,3860,1830,nway,2010,georgia
13089021502,6,4232,1389,nway,2010,georgia
13089021504,6,5708,1526,nway,2010,georgia
13089021602,6,4172,941,nway,2010,georgia
13089021416,6,3280,2368,nway,2010,georgia
13089021417,6,5827,4842,nway,2010,georgia
13089021605,6,5639,2805,nway,2010,georgia
13089021703,6,4672,733,nway,2010,georgia
13089021704,6,5417,1635,nway,2010,georgia
13089021705,6,5051,3188,nway,2010,georgia
13089021706,6,6155,2638,nway,2010,georgia
13089021805,6,6065,2924,nway,2010,georgia
13089021806,6,5969,3769,nway,2010,georgia
13089021808,6,4679,1935,nway,2010,georgia
13089021809,6,6877,1605,nway,2010,georgia
13089021810,6,4984,1812,nway,2010,georgia
13089021812,6,2372,1262,nway,2010,georgia
13089021908,6,5213,4827,nway,2010,georgia
13089021813,3,2631,2442,nway,2010,georgia
13089021814,3,6009,4792,nway,2010,georgia
13089021906,3,4977,4333,nway,2010,georgia
13089021909,3,5800,4999,nway,2010,georgia
13089021910,3,4773,4030,nway,2010,georgia
13089021911,6,2659,2621,nway,2010,georgia
13089021912,6,3451,1329,nway,2010,georgia
13089021913,6,4388,4141,nway,2010,georgia
13089022001,6,4125,1505,nway,2010,georgia
13089022004,6,5409,4764,nway,2010,georgia
13089022005,0,3855,3370,nway,2010,georgia
13089022007,0,3783,3302,nway,2010,georgia
13089022008,0,7250,6347,nway,2010,georgia
13089022009,1,5595,5396,nway,2010,georgia
13089022010,1,2153,1665,nway,2010,georgia
13089022100,4,3654,2862,nway,2010,georgia
13089022203,4,2275,1283,nway,2010,georgia
13089022204,4,6509,4193,nway,2010,georgia
13089022301,4,5657,1352,nway,2010,georgia
13089022403,4,4052,483,nway,2010,georgia
13089022302,4,4132,1358,nway,2010,georgia
13089022401,1,4444,703,nway,2010,georgia
13089022402,1,5823,2251,nway,2010,georgia
13089022500,1,5361,1588,nway,2010,georgia
13089022600,1,5795,1170,nway,2010,georgia
13089022700,1,4433,1710,nway,2010,georgia
13089022800,0,3648,1048,nway,2010,georgia
13089022900,0,3552,1436,nway,2010,georgia
13089023000,0,1958,436,nway,2010,georgia
13089023101,0,4484,3824,nway,2010,georgia
13089023102,0,3176,2018,nway,2010,georgia
13089023107,6,4452,3750,nway,2010,georgia
13089023108,6,4241,4008,nway,2010,georgia
13089023111,6,1590,1443,nway,2010,georgia
13121005501,6,2307,2016,nway,2010,georgia
13121004800,6,936,885,nway,2010,georgia
13121004900,6,2481,1294,nway,2010,georgia
13121002800,6,3547,2481,nway,2010,georgia
13121006000,6,3390,3291,nway,2010,georgia
13121006100,10,3471,3409,nway,2010,georgia
13121006200,10,1311,1279,nway,2010,georgia
13121006602,10,1129,1114,nway,2010,georgia
13121005502,10,2556,2470,nway,2010,georgia
13121005300,10,3443,1505,nway,2010,georgia
13121005700,10,1544,1518,nway,2010,georgia
13121006300,10,1924,1869,nway,2010,georgia
13121006400,10,1346,1276,nway,2010,georgia
13121005200,10,4094,1540,nway,2010,georgia
13121005800,10,1412,1294,nway,2010,georgia
13121006500,10,3678,3232,nway,2010,georgia
13121006601,10,1889,1614,nway,2010,georgia
13121006700,10,3570,3386,nway,2010,georgia
13121006801,10,2418,1650,nway,2010,georgia
13121006802,10,1958,1947,nway,2010,georgia
13121006900,6,3166,2116,nway,2010,georgia
13121007001,7,3943,3779,nway,2010,georgia
13121007002,7,2975,2831,nway,2010,georgia
13121007100,7,2145,2126,nway,2010,georgia
13121007200,7,1706,1682,nway,2010,georgia
13121007300,7,6683,6604,nway,2010,georgia
13121007400,7,3326,3123,nway,2010,georgia
13121007500,7,3511,3275,nway,2010,georgia
13121007602,7,2418,2394,nway,2010,georgia
13121007603,8,4296,3959,nway,2010,georgia
13121007604,8,2730,2710,nway,2010,georgia
13121007703,8,3861,3824,nway,2010,georgia
13121007704,9,4551,4511,nway,2010,georgia
13121007805,9,3449,3380,nway,2010,georgia
13121007705,6,3628,3605,nway,2010,georgia
13121007706,6,8430,8223,nway,2010,georgia
13121007802,6,8103,7993,nway,2010,georgia
13121007806,6,5474,5457,nway,2010,georgia
13121007807,6,3116,3085,nway,2010,georgia
13121007808,6,4306,4275,nway,2010,georgia
13121007900,9,4673,4627,nway,2010,georgia
13121008000,9,4875,4777,nway,2010,georgia
13121008101,9,977,969,nway,2010,georgia
13121008102,9,5925,5881,nway,2010,georgia
13121008202,8,1893,1881,nway,2010,georgia
13121008301,9,2903,2858,nway,2010,georgia
13121008302,9,2000,1987,nway,2010,georgia
13121008400,9,3181,3136,nway,2010,georgia
13121008500,9,3774,3696,nway,2010,georgia
13121008601,8,4917,4869,nway,2010,georgia
13121008602,9,1285,1225,nway,2010,georgia
13121008700,9,4372,4217,nway,2010,georgia
13121008800,9,4578,1865,nway,2010,georgia
13121008201,8,6083,6034,nway,2010,georgia
13121008902,8,5765,2461,nway,2010,georgia
13139000201,9,5942,1035,nway,2010,georgia
13139000102,12,3946,483,nway,2010,georgia
13137000602,9,8009,3033,nway,2010,georgia
13139000101,12,5436,669,nway,2010,georgia
13139000203,9,4161,141,nway,2010,georgia
13139000204,8,4107,252,nway,2010,georgia
13139000302,8,6235,980,nway,2010,georgia
13139000303,8,2570,213,nway,2010,georgia
13139000304,9,3670,595,nway,2010,georgia
13139000305,8,4344,590,nway,2010,georgia
13139000400,8,6378,1651,nway,2010,georgia
13139000500,9,7390,1930,nway,2010,georgia
13139000600,8,5382,1568,nway,2010,georgia
13139000900,8,5456,2069,nway,2010,georgia
13139000701,8,6294,5162,nway,2010,georgia
13139000702,8,5060,3396,nway,2010,georgia
13139000800,8,3402,2754,nway,2010,georgia
13139001002,4,6013,3041,nway,2010,georgia
13139001003,4,6539,5312,nway,2010,georgia
13139001004,9,2959,1173,nway,2010,georgia
13139001101,9,5249,4808,nway,2010,georgia
13139001102,9,4809,4288,nway,2010,georgia
13139001201,9,7839,5038,nway,2010,georgia
