GEOID,district,total_pop,minority_pop,method,year,state
13021012800,7,3260,2878,true_recursive,2010,georgia
13021013102,7,4340,3622,true_recursive,2010,georgia
13021012600,7,4171,3496,true_recursive,2010,georgia
13021012700,7,2184,2070,true_recursive,2010,georgia
13021012900,6,1837,1344,true_recursive,2010,georgia
13021013101,6,6119,5214,true_recursive,2010,georgia
13021013201,6,6034,5191,true_recursive,2010,georgia
13021013202,6,2952,2528,true_recursive,2010,georgia
13021013302,6,4420,3405,true_recursive,2010,georgia
13021013407,6,4229,1953,true_recursive,2010,georgia
13021013408,6,4418,942,true_recursive,2010,georgia
13021013409,6,4143,1387,true_recursive,2010,georgia
13021013410,6,5582,874,true_recursive,2010,georgia
13021013502,6,1927,420,true_recursive,2010,georgia
13021013503,6,2114,883,true_recursive,2010,georgia
13021013504,6,8575,2325,true_recursive,2010,georgia
13021013603,6,4453,1497,true_recursive,2010,georgia
13021013604,6,4798,1707,true_recursive,2010,georgia
13021013605,6,5454,2363,true_recursive,2010,georgia
13021013606,6,6013,1838,true_recursive,2010,georgia
13021013411,6,4039,1613,true_recursive,2010,georgia
13021013700,14,3233,1850,true_recursive,2010,georgia
13021013800,14,1931,1821,true_recursive,2010,georgia
13021013900,14,2070,1217,true_recursive,2010,georgia
13027960300,14,5801,1476,true_recursive,2010,georgia
13027960400,14,3601,2157,true_recursive,2010,georgia
13027960500,14,2576,1737,true_recursive,2010,georgia
13029920305,14,4012,817,true_recursive,2010,georgia
13023790200,14,2651,1409,true_recursive,2010,georgia
13023790100,14,4849,710,true_recursive,2010,georgia
13023790300,14,5563,1944,true_recursive,2010,georgia
13027960200,14,1660,474,true_recursive,2010,georgia
13027960600,14,2605,974,true_recursive,2010,georgia
13029920102,14,4967,1430,true_recursive,2010,georgia
13029920301,14,1858,422,true_recursive,2010,georgia
13029920306,14,9485,1557,true_recursive,2010,georgia
13029920101,14,4771,722,true_recursive,2010,georgia
13029920303,14,5140,1839,true_recursive,2010,georgia
13025960100,14,6832,455,true_recursive,2010,georgia
13025960200,14,6224,436,true_recursive,2010,georgia
13025960300,14,5355,322,true_recursive,2010,georgia
13029980000,14,0,0,true_recursive,2010,georgia
13031110401,14,3355,1999,true_recursive,2010,georgia
13031110100,14,3981,1254,true_recursive,2010,georgia
13031110300,14,7988,2323,true_recursive,2010,georgia
13031110200,11,8323,3717,true_recursive,2010,georgia
