GEOID,district,total_pop,minority_pop,method,year,state
22103040805,0,4671,970,nway,2020,louisiana
22103040306,1,5992,1189,nway,2020,louisiana
22103040607,1,3968,735,nway,2020,louisiana
22103040205,1,4460,689,nway,2020,louisiana
22103040713,1,4237,1867,nway,2020,louisiana
22103040308,1,6900,1191,nway,2020,louisiana
22103040712,1,4791,1122,nway,2020,louisiana
22103041214,1,3451,1169,nway,2020,louisiana
22103040711,1,3960,1992,nway,2020,louisiana
22103040107,1,3555,396,nway,2020,louisiana
22103040204,1,6372,1675,nway,2020,louisiana
22103041105,0,5659,2910,nway,2020,louisiana
22103040106,1,4190,458,nway,2020,louisiana
22103041301,1,3934,828,nway,2020,louisiana
22103040108,1,2912,316,nway,2020,louisiana
22103040105,1,5656,1096,nway,2020,louisiana
22103040402,1,2753,411,nway,2020,louisiana
22103040807,2,5249,3164,nway,2020,louisiana
22103040206,1,2557,359,nway,2020,louisiana
22103040806,2,6945,4906,nway,2020,louisiana
22103041213,1,5582,2179,nway,2020,louisiana
22103040401,1,8037,1363,nway,2020,louisiana
22103040309,1,11328,1786,nway,2020,louisiana
22103040203,1,3919,970,nway,2020,louisiana
22103040307,1,4175,810,nway,2020,louisiana
22103041106,0,1278,474,nway,2020,louisiana
22103040609,1,5348,1547,nway,2020,louisiana
22103041302,1,2805,497,nway,2020,louisiana
22103040606,1,4408,1138,nway,2020,louisiana
22103040804,0,2691,990,nway,2020,louisiana
22103040714,1,1928,249,nway,2020,louisiana
22103040608,1,3248,1046,nway,2020,louisiana
22009030702,5,3078,1211,nway,2020,louisiana
22009030402,5,2863,1799,nway,2020,louisiana
22009030502,5,3395,1592,nway,2020,louisiana
22009030701,5,4152,2618,nway,2020,louisiana
22009030401,5,3881,1538,nway,2020,louisiana
22009030501,5,3650,665,nway,2020,louisiana
22053000500,4,4523,927,nway,2020,louisiana
22079010300,5,4952,1150,nway,2020,louisiana
22105954200,1,4683,2166,nway,2020,louisiana
22105954400,1,3696,2114,nway,2020,louisiana
22007050100,2,3245,1770,nway,2020,louisiana
22007050600,2,3976,956,nway,2020,louisiana
22007050500,2,2523,1497,nway,2020,louisiana
22007050400,2,2895,1145,nway,2020,louisiana
22007050300,2,3419,1844,nway,2020,louisiana
22061960401,3,2568,1090,nway,2020,louisiana
22061960702,3,2917,386,nway,2020,louisiana
22061960402,3,2467,667,nway,2020,louisiana
22061960701,3,3677,525,nway,2020,louisiana
22053000600,4,2948,1436,nway,2020,louisiana
22079012900,5,2178,2156,nway,2020,louisiana
22057022000,2,2817,1600,nway,2020,louisiana
22103040709,2,4195,1010,nway,2020,louisiana
22055001801,4,2884,1289,nway,2020,louisiana
22075050800,2,894,398,nway,2020,louisiana
