GEOID,district,total_pop,minority_pop,method,year,state
22103040805,6,4671,970,true_recursive,2020,louisiana
22103040306,6,5992,1189,true_recursive,2020,louisiana
22103040607,6,3968,735,true_recursive,2020,louisiana
22103040205,5,4460,689,true_recursive,2020,louisiana
22103040713,6,4237,1867,true_recursive,2020,louisiana
22103040308,5,6900,1191,true_recursive,2020,louisiana
22103040712,6,4791,1122,true_recursive,2020,louisiana
22103041214,6,3451,1169,true_recursive,2020,louisiana
22103040711,6,3960,1992,true_recursive,2020,louisiana
22103040107,6,3555,396,true_recursive,2020,louisiana
22103040204,5,6372,1675,true_recursive,2020,louisiana
22103041105,6,5659,2910,true_recursive,2020,louisiana
22103040106,6,4190,458,true_recursive,2020,louisiana
22103041301,6,3934,828,true_recursive,2020,louisiana
22103040108,6,2912,316,true_recursive,2020,louisiana
22103040105,6,5656,1096,true_recursive,2020,louisiana
22103040402,5,2753,411,true_recursive,2020,louisiana
22103040807,6,5249,3164,true_recursive,2020,louisiana
22103040206,5,2557,359,true_recursive,2020,louisiana
22103040806,6,6945,4906,true_recursive,2020,louisiana
22103041213,6,5582,2179,true_recursive,2020,louisiana
22103040401,5,8037,1363,true_recursive,2020,louisiana
22103040309,5,11328,1786,true_recursive,2020,louisiana
22103040203,5,3919,970,true_recursive,2020,louisiana
22103040307,6,4175,810,true_recursive,2020,louisiana
22103041106,6,1278,474,true_recursive,2020,louisiana
22103040609,6,5348,1547,true_recursive,2020,louisiana
22103041302,6,2805,497,true_recursive,2020,louisiana
22103040606,6,4408,1138,true_recursive,2020,louisiana
22103040804,6,2691,990,true_recursive,2020,louisiana
22103040714,6,1928,249,true_recursive,2020,louisiana
22103040608,5,3248,1046,true_recursive,2020,louisiana
22009030702,2,3078,1211,true_recursive,2020,louisiana
22009030402,2,2863,1799,true_recursive,2020,louisiana
22009030502,2,3395,1592,true_recursive,2020,louisiana
22009030701,2,4152,2618,true_recursive,2020,louisiana
22009030401,2,3881,1538,true_recursive,2020,louisiana
22009030501,2,3650,665,true_recursive,2020,louisiana
22053000500,1,4523,927,true_recursive,2020,louisiana
22079010300,2,4952,1150,true_recursive,2020,louisiana
22105954200,5,4683,2166,true_recursive,2020,louisiana
22105954400,5,3696,2114,true_recursive,2020,louisiana
22007050100,6,3245,1770,true_recursive,2020,louisiana
22007050600,6,3976,956,true_recursive,2020,louisiana
22007050500,6,2523,1497,true_recursive,2020,louisiana
22007050400,6,2895,1145,true_recursive,2020,louisiana
22007050300,6,3419,1844,true_recursive,2020,louisiana
22061960401,3,2568,1090,true_recursive,2020,louisiana
22061960702,3,2917,386,true_recursive,2020,louisiana
22061960402,3,2467,667,true_recursive,2020,louisiana
22061960701,3,3677,525,true_recursive,2020,louisiana
22053000600,1,2948,1436,true_recursive,2020,louisiana
22079012900,2,2178,2156,true_recursive,2020,louisiana
22057022000,6,2817,1600,true_recursive,2020,louisiana
22103040709,6,4195,1010,true_recursive,2020,louisiana
22055001801,1,2884,1289,true_recursive,2020,louisiana
22075050800,6,894,398,true_recursive,2020,louisiana
22075050400,6,3422,1625,true_recursive,2020,louisiana
22075050600,6,916,444,true_recursive,2020,louisiana
22071980100,6,8,7,true_recursive,2020,louisiana
22071001751,6,1044,953,true_recursive,2020,louisiana
22071990000,6,0,0,true_recursive,2020,louisiana
22071001744,4,4668,4628,true_recursive,2020,louisiana
22075050300,4,4736,1935,true_recursive,2020,louisiana
22075050500,6,1379,1048,true_recursive,2020,louisiana
22075050700,6,1377,754,true_recursive,2020,louisiana
22103040708,6,6171,1457,true_recursive,2020,louisiana
22103041101,6,3886,1239,true_recursive,2020,louisiana
22103041103,6,3457,1864,true_recursive,2020,louisiana
22103040602,5,2618,365,true_recursive,2020,louisiana
22103040900,6,3535,2120,true_recursive,2020,louisiana
22103040501,5,4035,2079,true_recursive,2020,louisiana
22103040705,6,7133,2441,true_recursive,2020,louisiana
22105954001,5,4214,1981,true_recursive,2020,louisiana
22071004600,4,2711,557,true_recursive,2020,louisiana
22071000616,4,4388,3243,true_recursive,2020,louisiana
22071000618,4,3611,2618,true_recursive,2020,louisiana
22071014000,4,2122,2018,true_recursive,2020,louisiana
22033003300,2,4962,4910,true_recursive,2020,louisiana
22103040601,5,4263,621,true_recursive,2020,louisiana
22079012000,2,1329,1265,true_recursive,2020,louisiana
22051027502,4,3298,3272,true_recursive,2020,louisiana
22051027601,4,4815,2914,true_recursive,2020,louisiana
22051027602,4,3555,3158,true_recursive,2020,louisiana
22051027703,4,4212,3266,true_recursive,2020,louisiana
22051027803,4,4018,3446,true_recursive,2020,louisiana
22095070900,6,2785,2067,true_recursive,2020,louisiana
22095071000,6,2594,1293,true_recursive,2020,louisiana
22033003907,5,6098,3284,true_recursive,2020,louisiana
22071007101,4,1898,1573,true_recursive,2020,louisiana
22073005204,3,5754,634,true_recursive,2020,louisiana
22073010503,3,1936,181,true_recursive,2020,louisiana
22073005203,3,3248,577,true_recursive,2020,louisiana
22073011100,3,3041,2249,true_recursive,2020,louisiana
22073010900,3,4204,4128,true_recursive,2020,louisiana
22051027806,4,6453,2943,true_recursive,2020,louisiana
22071001746,6,4744,4658,true_recursive,2020,louisiana
22127960300,3,2377,1364,true_recursive,2020,louisiana
22127960100,3,3521,374,true_recursive,2020,louisiana
22127960400,3,2110,1350,true_recursive,2020,louisiana
22071001743,4,2314,2255,true_recursive,2020,louisiana
22071000615,4,3278,2826,true_recursive,2020,louisiana
22051027811,4,3285,3053,true_recursive,2020,louisiana
22051027812,4,3982,3830,true_recursive,2020,louisiana
22065960300,2,2335,2103,true_recursive,2020,louisiana
22065960200,2,2441,1115,true_recursive,2020,louisiana
22065960400,2,1437,1398,true_recursive,2020,louisiana
22065960100,2,1739,491,true_recursive,2020,louisiana
22017025300,3,1137,764,true_recursive,2020,louisiana
22071001749,6,2562,2518,true_recursive,2020,louisiana
22071014500,4,1628,1296,true_recursive,2020,louisiana
22077952400,2,4332,1074,true_recursive,2020,louisiana
22077951900,2,4984,3815,true_recursive,2020,louisiana
22077952300,2,1869,800,true_recursive,2020,louisiana
22077952100,2,4398,1235,true_recursive,2020,louisiana
22103041004,6,4517,1075,true_recursive,2020,louisiana
22103041104,6,3188,1145,true_recursive,2020,louisiana
22103040502,5,4333,1543,true_recursive,2020,louisiana
22103040801,6,4915,2211,true_recursive,2020,louisiana
22103041002,6,2711,624,true_recursive,2020,louisiana
22103041003,6,5738,1761,true_recursive,2020,louisiana
22103041202,6,2338,769,true_recursive,2020,louisiana
22103040304,6,6732,763,true_recursive,2020,louisiana
22103040706,6,6079,1396,true_recursive,2020,louisiana
22077952000,2,1823,974,true_recursive,2020,louisiana
22101040300,6,2912,1742,true_recursive,2020,louisiana
22101040800,6,4773,1682,true_recursive,2020,louisiana
22101041100,6,1478,1057,true_recursive,2020,louisiana
22101040100,6,2565,1857,true_recursive,2020,louisiana
22101041000,6,3678,1723,true_recursive,2020,louisiana
22051027810,4,3915,3625,true_recursive,2020,louisiana
22051020505,6,1729,1657,true_recursive,2020,louisiana
22051025500,4,2743,2235,true_recursive,2020,louisiana
22045030700,6,3799,912,true_recursive,2020,louisiana
22045030800,1,1819,1747,true_recursive,2020,louisiana
22045031000,1,3009,2599,true_recursive,2020,louisiana
22051025800,4,1687,929,true_recursive,2020,louisiana
22051021200,4,2464,1373,true_recursive,2020,louisiana
22051023003,4,2745,638,true_recursive,2020,louisiana
22051024500,4,1576,450,true_recursive,2020,louisiana
22037951300,2,2670,1398,true_recursive,2020,louisiana
22037951400,2,3462,1811,true_recursive,2020,louisiana
22037951600,2,5078,1986,true_recursive,2020,louisiana
22051020511,6,4289,2414,true_recursive,2020,louisiana
22051021400,6,2133,714,true_recursive,2020,louisiana
22051024300,4,2870,791,true_recursive,2020,louisiana
22051025003,4,4286,2626,true_recursive,2020,louisiana
22045030301,1,3735,1349,true_recursive,2020,louisiana
22045990000,6,0,0,true_recursive,2020,louisiana
22051024202,4,4756,2676,true_recursive,2020,louisiana
22069000500,3,4219,1546,true_recursive,2020,louisiana
22017023200,3,1351,1203,true_recursive,2020,louisiana
22017023300,3,1918,1881,true_recursive,2020,louisiana
22101040900,6,2912,1238,true_recursive,2020,louisiana
22101990000,6,0,0,true_recursive,2020,louisiana
22113950500,1,5758,689,true_recursive,2020,louisiana
22113951100,1,1386,121,true_recursive,2020,louisiana
22113950600,1,3337,705,true_recursive,2020,louisiana
22057020704,6,5628,760,true_recursive,2020,louisiana
22057021902,6,4186,670,true_recursive,2020,louisiana
22057990000,6,0,0,true_recursive,2020,louisiana
22033005000,2,3112,557,true_recursive,2020,louisiana
22073010700,3,2460,2402,true_recursive,2020,louisiana
22073000200,3,5578,1148,true_recursive,2020,louisiana
22063040202,5,4976,368,true_recursive,2020,louisiana
22063040304,5,5754,649,true_recursive,2020,louisiana
22063040805,5,5143,1478,true_recursive,2020,louisiana
22015010805,3,3032,1676,true_recursive,2020,louisiana
22015011002,3,4959,1356,true_recursive,2020,louisiana
22073010103,3,3228,2117,true_recursive,2020,louisiana
22073010606,2,1431,1023,true_recursive,2020,louisiana
22073010605,3,5236,4587,true_recursive,2020,louisiana
22073010203,3,2355,1575,true_recursive,2020,louisiana
22073010401,3,5039,470,true_recursive,2020,louisiana
22073010506,3,3545,349,true_recursive,2020,louisiana
22073005305,3,3451,1057,true_recursive,2020,louisiana
22073005306,3,2588,421,true_recursive,2020,louisiana
22017024800,3,876,292,true_recursive,2020,louisiana
22017024400,3,4451,2901,true_recursive,2020,louisiana
22017025100,3,1687,449,true_recursive,2020,louisiana
22017021900,3,1082,1025,true_recursive,2020,louisiana
22017024503,3,4914,2592,true_recursive,2020,louisiana
22017023500,3,2762,2730,true_recursive,2020,louisiana
22017023600,3,2775,2748,true_recursive,2020,louisiana
22017023903,3,3963,1425,true_recursive,2020,louisiana
22069000200,3,2964,1168,true_recursive,2020,louisiana
22069000800,3,4176,785,true_recursive,2020,louisiana
22069000300,3,4347,1142,true_recursive,2020,louisiana
22069000400,3,3529,3047,true_recursive,2020,louisiana
22069000100,3,1915,488,true_recursive,2020,louisiana
22017020600,3,861,838,true_recursive,2020,louisiana
22017024304,3,4841,1957,true_recursive,2020,louisiana
22017024104,3,6860,5334,true_recursive,2020,louisiana
22017024107,3,4843,3331,true_recursive,2020,louisiana
22017024102,3,3835,1519,true_recursive,2020,louisiana
22017024900,3,2953,630,true_recursive,2020,louisiana
22017025000,3,3119,1532,true_recursive,2020,louisiana
22017024504,3,5884,1106,true_recursive,2020,louisiana
22017021100,3,2403,1615,true_recursive,2020,louisiana
22017020500,3,2611,2473,true_recursive,2020,louisiana
22017022000,3,1478,1451,true_recursive,2020,louisiana
22017020700,3,761,749,true_recursive,2020,louisiana
22017021000,3,1328,600,true_recursive,2020,louisiana
22017021200,3,3535,1724,true_recursive,2020,louisiana
22017021300,3,2646,2318,true_recursive,2020,louisiana
22017021400,3,2049,1136,true_recursive,2020,louisiana
22017021500,3,2154,739,true_recursive,2020,louisiana
22045030500,1,4138,1724,true_recursive,2020,louisiana
22101040600,6,4218,1045,true_recursive,2020,louisiana
22101040700,6,3633,2206,true_recursive,2020,louisiana
22047952902,6,2223,1632,true_recursive,2020,louisiana
22047952901,2,2759,475,true_recursive,2020,louisiana
22047952702,2,3091,1780,true_recursive,2020,louisiana
22067950200,2,5401,1522,true_recursive,2020,louisiana
22067950700,2,3360,1344,true_recursive,2020,louisiana
22067950500,2,4243,2845,true_recursive,2020,louisiana
22067950400,2,2895,2619,true_recursive,2020,louisiana
22067950300,3,2478,736,true_recursive,2020,louisiana
