GEOID,district,total_pop,minority_pop,method,year,state
28117950200,2,6393,641,recursive,2010,mississippi
28117950500,2,1962,965,recursive,2010,mississippi
28121020101,2,4772,1371,recursive,2010,mississippi
28121020102,1,11057,2344,recursive,2010,mississippi
28121020206,1,8403,1707,recursive,2010,mississippi
28121020207,1,6340,1604,recursive,2010,mississippi
28121020209,1,4345,465,recursive,2010,mississippi
28121020210,1,4522,572,recursive,2010,mississippi
28121020211,2,7670,1525,recursive,2010,mississippi
28121020212,2,2420,295,recursive,2010,mississippi
28121020802,2,11490,3379,recursive,2010,mississippi
28121020213,2,1410,341,recursive,2010,mississippi
28121020302,2,7465,1720,recursive,2010,mississippi
28121020401,2,4350,1066,recursive,2010,mississippi
28121020402,2,6003,1428,recursive,2010,mississippi
28121020500,2,4591,2693,recursive,2010,mississippi
28121020600,2,8744,4016,recursive,2010,mississippi
28121020703,3,1941,227,recursive,2010,mississippi
28121020704,3,5870,1710,recursive,2010,mississippi
28121020803,3,2052,152,recursive,2010,mississippi
28121020900,3,6944,1386,recursive,2010,mississippi
28121021001,1,6047,612,recursive,2010,mississippi
28121021002,1,6988,1812,recursive,2010,mississippi
28121021003,1,5073,1121,recursive,2010,mississippi
28123020100,1,6830,3093,recursive,2010,mississippi
28123020200,1,4664,2460,recursive,2010,mississippi
28123020300,2,5298,1168,recursive,2010,mississippi
28123020500,2,4808,3496,recursive,2010,mississippi
28123020600,1,3479,1629,recursive,2010,mississippi
28127950300,1,6181,1741,recursive,2010,mississippi
28125950100,1,2897,2065,recursive,2010,mississippi
28127950100,0,5116,1822,recursive,2010,mississippi
28127950200,0,3581,1300,recursive,2010,mississippi
28127950500,0,4866,2510,recursive,2010,mississippi
28129950200,0,6086,916,recursive,2010,mississippi
28131020202,0,6753,1824,recursive,2010,mississippi
28133950402,0,6043,5925,recursive,2010,mississippi
28133950500,0,2999,2434,recursive,2010,mississippi
28133950600,0,2571,1784,recursive,2010,mississippi
28135950100,0,4334,1656,recursive,2010,mississippi
28135950300,0,5459,4233,recursive,2010,mississippi
28135950400,0,2786,1711,recursive,2010,mississippi
28137950200,0,6669,1613,recursive,2010,mississippi
28137950301,0,4648,2434,recursive,2010,mississippi
28137950302,0,6069,1351,recursive,2010,mississippi
28137950400,0,5864,2609,recursive,2010,mississippi
28139950100,0,5052,699,recursive,2010,mississippi
28139950200,0,6614,1422,recursive,2010,mississippi
28139950300,0,2753,1052,recursive,2010,mississippi
28139950400,0,7813,1655,recursive,2010,mississippi
28141950100,3,3252,74,recursive,2010,mississippi
28141950200,3,2555,233,recursive,2010,mississippi
28141950400,3,7549,754,recursive,2010,mississippi
28143980000,3,0,0,recursive,2010,mississippi
28145950100,0,4448,364,recursive,2010,mississippi
28149950200,0,4221,3472,recursive,2010,mississippi
28145950300,2,4564,1747,recursive,2010,mississippi
28145950600,2,3610,382,recursive,2010,mississippi
28147950200,2,1700,800,recursive,2010,mississippi
28149950300,2,2623,2280,recursive,2010,mississippi
28149950400,2,2935,2187,recursive,2010,mississippi
28149950800,3,4097,2399,recursive,2010,mississippi
28149951101,3,5272,2013,recursive,2010,mississippi
28149951102,3,4747,2127,recursive,2010,mississippi
28151001200,2,2518,2457,recursive,2010,mississippi
28151000200,2,1978,1502,recursive,2010,mississippi
28151000900,2,3081,2226,recursive,2010,mississippi
28151001000,2,1248,1188,recursive,2010,mississippi
28151001300,3,2410,2197,recursive,2010,mississippi
28151001400,3,4246,3452,recursive,2010,mississippi
28159950500,0,4287,1439,recursive,2010,mississippi
28153950100,0,5438,2878,recursive,2010,mississippi
28153950200,3,4909,3240,recursive,2010,mississippi
28157950100,3,4146,2661,recursive,2010,mississippi
28161950200,3,4192,1666,recursive,2010,mississippi
28149950600,2,5314,2364,recursive,2010,mississippi
28143950200,1,4734,3426,recursive,2010,mississippi
28145950200,1,5080,696,recursive,2010,mississippi
28145950400,0,4004,1698,recursive,2010,mississippi
28145950500,1,5428,598,recursive,2010,mississippi
28147950100,1,7063,3522,recursive,2010,mississippi
28147950300,1,6680,2976,recursive,2010,mississippi
28149950100,1,5458,1881,recursive,2010,mississippi
28149950500,1,2358,1278,recursive,2010,mississippi
28149950700,1,2545,1794,recursive,2010,mississippi
