GEOID,district,total_pop,minority_pop,method,year,state
45063021018,5,5261,873,nway,2010,south_carolina
45063021020,5,3992,658,nway,2010,south_carolina
45063021021,5,1471,69,nway,2010,south_carolina
45063021023,5,2566,398,nway,2010,south_carolina
45063021024,5,3775,511,nway,2010,south_carolina
45063021025,6,3439,167,nway,2010,south_carolina
45063021028,3,3463,703,nway,2010,south_carolina
45063021029,3,3314,1118,nway,2010,south_carolina
45063021030,3,4901,955,nway,2010,south_carolina
45063021031,3,3982,698,nway,2010,south_carolina
45063021032,3,3767,463,nway,2010,south_carolina
45063021022,3,3714,492,nway,2010,south_carolina
45063021026,6,4274,290,nway,2010,south_carolina
45063021027,6,3992,361,nway,2010,south_carolina
45063021033,3,4431,971,nway,2010,south_carolina
45063021034,3,4133,787,nway,2010,south_carolina
45079011412,3,5089,3441,nway,2010,south_carolina
45079011413,3,8358,4044,nway,2010,south_carolina
45079011416,5,11475,6345,nway,2010,south_carolina
45079011414,5,5767,3102,nway,2010,south_carolina
45079011415,5,10592,5875,nway,2010,south_carolina
45079011417,5,8302,6239,nway,2010,south_carolina
45079011418,5,3433,1524,nway,2010,south_carolina
45079011419,5,4905,3132,nway,2010,south_carolina
45079011501,5,10945,5032,nway,2010,south_carolina
45079011502,5,2133,1140,nway,2010,south_carolina
45079011603,5,5380,1551,nway,2010,south_carolina
45079011604,5,5946,1052,nway,2010,south_carolina
45079011606,5,4461,2732,nway,2010,south_carolina
45079011607,5,3800,2804,nway,2010,south_carolina
45079011608,5,6959,4289,nway,2010,south_carolina
45079011701,5,5137,1898,nway,2010,south_carolina
45079011702,5,3550,3335,nway,2010,south_carolina
45079011800,5,6424,5649,nway,2010,south_carolina
45079011901,5,7590,5943,nway,2010,south_carolina
45079011902,5,4980,2376,nway,2010,south_carolina
45079012000,5,5433,3914,nway,2010,south_carolina
45079980100,5,22,16,nway,2010,south_carolina
45081960100,3,2817,872,nway,2010,south_carolina
45081960400,3,3159,1429,nway,2010,south_carolina
45081960300,3,4854,776,nway,2010,south_carolina
45081960201,3,4807,2446,nway,2010,south_carolina
45081960202,3,4238,2804,nway,2010,south_carolina
45083020301,3,2905,1331,nway,2010,south_carolina
45083020400,3,1212,1086,nway,2010,south_carolina
45083020500,3,1414,1302,nway,2010,south_carolina
45083020601,3,2756,1970,nway,2010,south_carolina
45083020602,3,1899,997,nway,2010,south_carolina
45083020603,3,2214,924,nway,2010,south_carolina
45083020701,3,3068,2685,nway,2010,south_carolina
45083020702,3,1858,1090,nway,2010,south_carolina
45083020800,5,1484,1421,nway,2010,south_carolina
