state,Minority %,Districts,Target MM,Success Rate,Best MM,Achieves
hawaii,0.7840,2,2,1.0000,2,True
california,0.6531,52,34,1.0000,44,True
new_mexico,0.6350,3,2,1.0000,3,True
texas,0.6025,38,23,1.0000,29,True
nevada,0.5407,4,2,1.0000,3,True
maryland,0.5283,8,4,1.0000,6,True
georgia,0.4994,14,7,0.4000,8,True
florida,0.4846,28,14,0.0000,12,False
new_jersey,0.4815,12,6,0.4667,6,True
new_york,0.4753,26,12,0.0667,12,True
arizona,0.4663,9,4,0.2000,4,True
mississippi,0.4465,4,2,0.8667,2,True
louisiana,0.4425,6,3,0.0667,3,True
illinois,0.4168,17,7,0.0000,5,False
virginia,0.4140,11,5,0.0667,5,True
north_carolina,0.3954,14,6,0.0000,3,False
oklahoma,0.3920,5,2,0.0000,1,False
south_carolina,0.3790,7,3,0.0000,1,False
alabama,0.3688,7,3,0.0000,2,False
connecticut,0.3679,5,2,0.0000,1,False
washington,0.3616,10,4,0.0000,2,False
colorado,0.3487,8,3,0.0000,2,False
massachusetts,0.3245,9,3,0.0000,1,False
arkansas,0.3148,4,1,0.0000,0,False
rhode_island,0.3129,2,1,0.0000,0,False
tennessee,0.2909,9,3,0.0000,1,False
oregon,0.2835,6,2,0.0000,0,False
kansas,0.2775,4,1,0.0000,0,False
michigan,0.2760,13,4,0.0000,2,False
pennsylvania,0.2653,17,5,0.0000,2,False
utah,0.2464,4,1,0.0000,0,False
indiana,0.2453,9,2,0.0000,1,False
nebraska,0.2431,3,1,0.0000,0,False
missouri,0.2422,8,2,0.0000,1,False
ohio,0.2411,15,4,0.0000,2,False
minnesota,0.2370,8,2,0.0000,0,False
wisconsin,0.2137,8,2,0.0000,1,False
idaho,0.2113,2,1,0.0000,0,False
kentucky,0.1867,6,1,0.0000,0,False
iowa,0.1731,4,1,0.0000,0,False
new_hampshire,0.1284,2,1,0.0000,0,False
west_virginia,0.1086,2,1,0.0000,0,False
maine,0.0984,2,1,0.0000,0,False
