alpha,tau,config,num_districts,mean_abs_lean,std_lean,safe_10_count,safe_10_pct,safe_15_count,safe_15_pct,safe_20_count,safe_20_pct,mean_polsby_popper,median_polsby_popper
1.0,10.0,alpha1_tau10,161,27.080842345387207,30.26629320455194,124,77.01863354037268,109,67.70186335403726,88,54.6583850931677,0.255473167698328,0.2449172900589295
1.0,15.0,alpha1.0_tau15.0,52,32.30509555784246,22.898952477622398,43,82.6923076923077,39,75.0,34,65.38461538461539,0.23393445509012784,0.2194140519555614
1.0,15.0,alpha1_tau15,161,27.080842345387207,30.26629320455194,124,77.01863354037268,109,67.70186335403726,88,54.6583850931677,0.255473167698328,0.2449172900589295
1.0,20.0,alpha1_tau20,161,27.080842345387207,30.26629320455194,124,77.01863354037268,109,67.70186335403726,88,54.6583850931677,0.255473167698328,0.2449172900589295
5.0,10.0,alpha5_tau10,161,26.842606601845784,29.978378700909023,123,76.3975155279503,106,65.83850931677019,85,52.79503105590062,0.20644217479746052,0.2019699535515364
5.0,15.0,alpha5_tau15,161,27.711097347377212,30.979195825870192,126,78.26086956521739,112,69.56521739130434,92,57.14285714285714,0.23977881411348353,0.2288894469012712
5.0,20.0,alpha5_tau20,161,27.405290979164057,30.704376320631184,122,75.77639751552795,109,67.70186335403726,89,55.27950310559007,0.22840861474376273,0.2227462406352653
10.0,10.0,alpha10_tau10,161,27.030925154638663,30.497290754635433,119,73.91304347826086,102,63.35403726708074,83,51.5527950310559,0.19668168951825807,0.1905301587011453
10.0,15.0,alpha10.0_tau15.0,2,7.634726145790164,4.02001856023049,1,50.0,0,0.0,0,0.0,0.29914714380072327,0.29914714380072327
10.0,15.0,alpha10_tau15,161,26.852759066007934,30.495711048366864,120,74.53416149068323,104,64.59627329192547,81,50.31055900621118,0.2104639066954964,0.1965189610585689
10.0,20.0,alpha10_tau20,161,27.30683060261,30.70854664847391,131,81.36645962732919,105,65.21739130434783,83,51.5527950310559,0.24053408458762368,0.2304597728863921
25.0,10.0,alpha25_tau10,161,27.1574703341396,30.70245226023519,122,75.77639751552795,107,66.45962732919256,88,54.6583850931677,0.18958731118787653,0.1746013555896914
25.0,15.0,alpha25_tau15,161,27.792812079446175,31.215875528186245,124,77.01863354037268,100,62.11180124223602,85,52.79503105590062,0.20753685053215992,0.1945267648028471
25.0,20.0,alpha25_tau20,161,27.234894581580615,30.43508510349291,118,73.29192546583852,108,67.08074534161491,88,54.6583850931677,0.20618002184056083,0.1912585169388746
50.0,10.0,alpha50_tau10,161,27.168521281049895,30.430359168783646,121,75.15527950310559,108,67.08074534161491,92,57.14285714285714,0.1724282683120386,0.160683704482528
50.0,15.0,alpha50.0_tau15.0,52,32.90518784281324,23.123252156302094,43,82.6923076923077,41,78.84615384615384,35,67.3076923076923,0.17920780448038098,0.15665242461755324
50.0,15.0,alpha50_tau15,161,27.296956125725092,30.709766710056037,119,73.91304347826086,103,63.975155279503106,89,55.27950310559007,0.205459405579603,0.1915154548126434
50.0,20.0,alpha50_tau20,161,26.52709391410156,30.32215696500564,120,74.53416149068323,98,60.86956521739131,83,51.5527950310559,0.22127327959595497,0.2069690355194588
100.0,10.0,alpha100_tau10,161,27.32253903337963,30.998222959886924,123,76.3975155279503,103,63.975155279503106,86,53.41614906832298,0.17885492795835237,0.1705485709241848
100.0,15.0,alpha100_tau15,161,27.750160305359877,30.840280037873704,125,77.63975155279503,109,67.70186335403726,91,56.52173913043478,0.2114816716060962,0.1943581240449948
100.0,20.0,alpha100_tau20,161,27.294539314157007,30.45567324138275,120,74.53416149068323,104,64.59627329192547,90,55.90062111801242,0.22303388438964833,0.2176731477275574
