state,enacted_eg,algo_eg,eg_delta,enacted_mmd,algo_mmd,mmd_delta,enacted_bias,algo_bias,bias_delta
alabama,0.1913,0.1589,0.0324,0.0392,-0.0132,0.0260,-0.5000,-0.5000,0.0000
alaska,0.4417,0.3644,0.0772,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
arizona,-0.0014,0.3960,-0.3946,-0.0461,-0.0088,0.0373,0.2440,-0.5000,-0.2560
arkansas,0.1286,0.1022,0.0264,0.0014,-0.0164,-0.0150,-0.5000,-0.5000,0.0000
california,-0.2019,-0.2151,-0.0132,0.0171,0.0105,0.0066,0.1651,0.5000,-0.3349
colorado,0.0902,-0.1796,-0.0895,-0.0060,0.0005,0.0055,-0.2707,0.1832,0.0875
connecticut,-0.0941,-0.2418,-0.1477,0.0359,0.0058,0.0301,0.2763,0.5000,-0.2237
delaware,-0.2403,-0.0931,0.1473,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
florida,-0.0621,0.2107,-0.1486,0.0289,0.0069,0.0220,0.1993,-0.1692,0.0301
georgia,-0.0741,0.2353,-0.1612,0.0255,-0.0099,0.0156,0.1412,-0.2103,-0.0690
hawaii,-0.1100,-0.1047,0.0053,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
idaho,0.2874,0.2463,0.0411,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
illinois,-0.0352,-0.1915,-0.1563,0.0238,-0.0177,0.0061,-0.0796,-0.1353,-0.0557
indiana,0.1357,0.2146,-0.0789,-0.0461,-0.0206,0.0256,-0.0481,-0.5000,-0.4519
iowa,0.1026,0.3619,-0.2593,0.0014,0.0095,-0.0081,-0.2424,-0.5000,-0.2576
kansas,0.2687,0.1884,0.0803,0.0014,-0.0117,-0.0103,-0.5000,-0.5000,0.0000
kentucky,0.2256,0.2784,-0.0528,0.0250,0.0055,0.0195,-0.5000,-0.5000,0.0000
louisiana,0.1431,0.2502,-0.1071,0.0250,0.0001,0.0249,0.1261,-0.5000,-0.3739
maine,-0.3225,-0.2185,0.1040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
maryland,-0.2457,-0.2706,-0.0249,-0.0060,-0.0014,0.0045,0.5000,0.5000,0.0000
massachusetts,-0.2656,-0.2539,0.0117,-0.0461,0.0394,0.0067,0.5000,0.5000,0.0000
michigan,-0.0328,-0.0017,0.0312,0.0251,-0.0108,0.0143,0.0346,0.1042,-0.0696
minnesota,0.0340,0.0202,0.0138,-0.0060,-0.0091,-0.0031,-0.0318,-0.0407,-0.0089
mississippi,0.2660,0.2975,-0.0315,0.0014,0.0049,-0.0035,-0.5000,-0.5000,0.0000
missouri,0.1582,0.2155,-0.0573,-0.0060,-0.0101,-0.0042,-0.1252,-0.5000,-0.3748
montana,0.4279,0.3138,0.1142,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
nebraska,0.2921,0.1957,0.0964,0.0314,0.0195,0.0119,-0.5000,-0.5000,0.0000
nevada,0.0083,0.4056,-0.3973,0.0014,0.0052,-0.0038,0.1444,-0.5000,-0.3556
new_hampshire,-0.3305,-0.3345,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
new_jersey,0.0375,-0.1937,-0.1563,0.0194,0.0176,0.0018,-0.2859,0.1729,0.1129
new_mexico,-0.0211,-0.0458,-0.0247,0.0314,0.0313,0.0001,-0.0032,-0.1228,-0.1196
new_york,-0.0195,-0.3282,-0.3087,0.0284,0.0100,0.0185,-0.1210,0.5000,-0.3790
north_carolina,-0.0918,0.0155,0.0763,0.0255,-0.0054,0.0201,0.2117,0.1793,0.0324
north_dakota,0.2157,0.1942,0.0214,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
ohio,0.0003,0.1419,-0.1415,0.0281,0.0108,0.0172,0.0274,-0.2681,-0.2406
oklahoma,0.1357,0.1116,0.0241,0.0359,-0.0348,0.0011,-0.5000,-0.5000,0.0000
oregon,0.0151,-0.0572,-0.0421,0.0250,-0.0034,0.0216,-0.3443,0.2223,0.1219
pennsylvania,-0.0678,-0.0751,-0.0073,0.0238,-0.0007,0.0231,0.0601,0.1625,-0.1024
rhode_island,-0.1918,-0.3065,-0.1147,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
south_carolina,0.0589,0.2061,-0.1472,0.0392,0.0011,0.0380,-0.0298,0.0756,-0.0458
south_dakota,0.2997,0.2595,0.0402,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
tennessee,0.1686,0.2015,-0.0330,-0.0461,-0.0065,0.0397,-0.5000,-0.5000,0.0000
texas,0.0023,0.1823,-0.1799,0.0227,-0.0109,0.0119,0.0472,-0.1252,-0.0780
utah,0.1981,0.2627,-0.0647,0.0014,0.0158,-0.0144,-0.5000,-0.5000,0.0000
vermont,-0.0943,-0.1761,-0.0817,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
virginia,0.0139,0.0440,-0.0301,0.0342,-0.0051,0.0291,-0.1450,-0.2021,-0.0571
washington,0.1279,-0.0358,0.0921,-0.0024,-0.0129,-0.0105,-0.4527,-0.0763,0.3765
west_virginia,0.2075,0.3417,-0.1342,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
wisconsin,-0.0242,0.2788,-0.2546,-0.0060,-0.0184,-0.0124,0.2257,-0.4775,-0.2518
wyoming,0.1117,0.2282,-0.1165,0.0000,0.0000,0.0000,-0.5000,-0.5000,0.0000
