state,seed,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime,error
AL,42,1.005,1.1,1,2,54.91214020868257,246,False,5.249641180038452,
AL,43,1.005,1.1,1,2,54.91214020868257,246,False,5.0036702156066895,
AL,44,1.005,1.1,1,2,54.91214020868257,246,False,4.792495489120483,
AL,45,1.005,1.1,1,2,54.91214020868257,246,False,5.126397132873535,
AL,46,1.005,1.1,1,2,54.91214020868257,246,False,5.0854597091674805,
AL,47,1.005,1.1,1,2,54.91214020868257,246,False,5.152360677719116,
AL,48,1.005,1.1,1,2,54.91214020868257,246,False,5.108718395233154,
AL,49,1.005,1.1,1,2,54.91214020868257,246,False,4.942344665527344,
AL,50,1.005,1.1,1,2,54.91214020868257,246,False,5.036120891571045,
AL,51,1.005,1.1,1,2,54.91214020868257,246,False,4.915273189544678,
AL,52,1.005,1.1,1,2,54.91214020868257,246,False,5.0569374561309814,
AL,53,1.005,1.1,1,2,54.91214020868257,246,False,5.200726270675659,
AL,54,1.005,1.1,1,2,54.91214020868257,246,False,5.2159295082092285,
AL,55,1.005,1.1,1,2,54.91214020868257,246,False,5.727220058441162,
AL,42,1.005,1.3,0,2,49.66962703686932,277,False,5.331924676895142,
AL,43,1.005,1.3,0,2,49.66962703686932,277,False,5.124900579452515,
AL,44,1.005,1.3,0,2,49.66962703686932,277,False,5.514603137969971,
AL,45,1.005,1.3,0,2,49.66962703686932,277,False,5.246399402618408,
AL,46,1.005,1.3,0,2,49.66962703686932,277,False,5.259558439254761,
AL,47,1.005,1.3,0,2,49.66962703686932,277,False,4.873904466629028,
AL,48,1.005,1.3,0,2,49.66962703686932,277,False,5.118678569793701,
AL,49,1.005,1.3,0,2,49.66962703686932,277,False,4.9971764087677,
AL,50,1.005,1.3,0,2,49.66962703686932,277,False,5.188902139663696,
AL,51,1.005,1.3,0,2,49.66962703686932,277,False,4.762731075286865,
AL,52,1.005,1.3,0,2,49.66962703686932,277,False,5.340892553329468,
AL,53,1.005,1.3,0,2,49.66962703686932,277,False,4.890727281570435,
AL,54,1.005,1.3,0,2,49.66962703686932,277,False,4.910443544387817,
AL,55,1.005,1.3,0,2,49.66962703686932,277,False,4.8227314949035645,
AL,42,1.005,1.5,0,2,44.72441707032734,283,False,4.88745379447937,
AL,43,1.005,1.5,0,2,44.72441707032734,283,False,4.943295478820801,
AL,44,1.005,1.5,0,2,44.72441707032734,283,False,5.455770015716553,
AL,45,1.005,1.5,0,2,44.72441707032734,283,False,5.432671070098877,
AL,46,1.005,1.5,0,2,44.72441707032734,283,False,5.611268997192383,
AL,47,1.005,1.5,0,2,44.72441707032734,283,False,5.519143104553223,
AL,48,1.005,1.5,0,2,44.72441707032734,283,False,5.482530832290649,
AL,49,1.005,1.5,0,2,44.72441707032734,283,False,5.318860292434692,
AL,50,1.005,1.5,0,2,44.72441707032734,283,False,5.525586843490601,
AL,51,1.005,1.5,0,2,44.72441707032734,283,False,4.989420413970947,
AL,52,1.005,1.5,0,2,44.72441707032734,283,False,4.88853120803833,
AL,53,1.005,1.5,0,2,44.72441707032734,283,False,5.254132986068726,
AL,54,1.005,1.5,0,2,44.72441707032734,283,False,4.89433479309082,
AL,55,1.005,1.5,0,2,44.72441707032734,283,False,4.865896224975586,
AL,42,1.005,2.0,1,2,51.26960160539254,246,False,4.937346935272217,
AL,43,1.005,2.0,1,2,51.26960160539254,246,False,6.131531000137329,
AL,44,1.005,2.0,1,2,51.26960160539254,246,False,6.919774293899536,
AL,45,1.005,2.0,1,2,51.26960160539254,246,False,6.933934688568115,
AL,46,1.005,2.0,1,2,51.26960160539254,246,False,6.844029664993286,
AL,47,1.005,2.0,1,2,51.26960160539254,246,False,6.73980975151062,
AL,48,1.005,2.0,1,2,51.26960160539254,246,False,6.76804518699646,
AL,49,1.005,2.0,1,2,51.26960160539254,246,False,6.899649143218994,
AL,50,1.005,2.0,1,2,51.26960160539254,246,False,6.883038759231567,
AL,51,1.005,2.0,1,2,51.26960160539254,246,False,7.040404558181763,
AL,52,1.005,2.0,1,2,51.26960160539254,246,False,6.703955888748169,
AL,53,1.005,2.0,1,2,51.26960160539254,246,False,6.590437412261963,
AL,54,1.005,2.0,1,2,51.26960160539254,246,False,6.350228309631348,
AL,55,1.005,2.0,1,2,51.26960160539254,246,False,6.456752300262451,
AL,42,1.005,2.5,0,2,49.53274380728597,212,False,6.39147162437439,
AL,43,1.005,2.5,0,2,49.53274380728597,212,False,6.4165661334991455,
AL,44,1.005,2.5,0,2,49.53274380728597,212,False,5.981193542480469,
AL,45,1.005,2.5,0,2,49.53274380728597,212,False,6.691874980926514,
AL,46,1.005,2.5,0,2,49.53274380728597,212,False,6.654482126235962,
AL,47,1.005,2.5,0,2,49.53274380728597,212,False,7.996505498886108,
AL,48,1.005,2.5,0,2,49.53274380728597,212,False,6.7289137840271,
AL,49,1.005,2.5,0,2,49.53274380728597,212,False,7.120418548583984,
AL,50,1.005,2.5,0,2,49.53274380728597,212,False,6.921217203140259,
AL,51,1.005,2.5,0,2,49.53274380728597,212,False,6.636257648468018,
AL,52,1.005,2.5,0,2,49.53274380728597,212,False,6.239295482635498,
AL,53,1.005,2.5,0,2,49.53274380728597,212,False,5.893306016921997,
