GEOID,district,total_pop,minority_pop,method,year,state
13099090500,6,1726,461,recursive,2020,georgia
13099090400,6,3686,2380,recursive,2020,georgia
13099090200,6,2788,1853,recursive,2020,georgia
13067031209,9,4719,1660,recursive,2020,georgia
13067031207,9,5182,2734,recursive,2020,georgia
13067030507,9,5253,2088,recursive,2020,georgia
13067030506,9,4672,2356,recursive,2020,georgia
13057090101,10,4224,445,recursive,2020,georgia
13057090606,10,4499,1372,recursive,2020,georgia
13057090605,10,3855,2241,recursive,2020,georgia
13057090710,10,3998,790,recursive,2020,georgia
13057090703,10,4699,1231,recursive,2020,georgia
13057090301,10,5785,1088,recursive,2020,georgia
13057091009,10,6559,1905,recursive,2020,georgia
13057090504,10,5117,783,recursive,2020,georgia
13057090202,10,6655,704,recursive,2020,georgia
13057090705,10,2783,474,recursive,2020,georgia
13057090201,10,2455,220,recursive,2020,georgia
13057090402,10,6801,1981,recursive,2020,georgia
13057090808,10,6407,1057,recursive,2020,georgia
13057090911,10,5363,1188,recursive,2020,georgia
13057091011,10,4236,1481,recursive,2020,georgia
13057090912,10,4006,904,recursive,2020,georgia
13057090805,10,5151,934,recursive,2020,georgia
13057090708,10,5280,1530,recursive,2020,georgia
13057090303,10,6645,1057,recursive,2020,georgia
13057090807,10,7593,1534,recursive,2020,georgia
13057090603,10,6216,1895,recursive,2020,georgia
13057090810,10,4509,996,recursive,2020,georgia
13057090505,10,5803,910,recursive,2020,georgia
13057090503,10,4680,727,recursive,2020,georgia
13057090809,10,4062,695,recursive,2020,georgia
13057090302,10,2478,325,recursive,2020,georgia
13057090604,10,3555,1521,recursive,2020,georgia
13057090507,10,2142,229,recursive,2020,georgia
13057090506,10,4471,500,recursive,2020,georgia
13057090102,10,5376,797,recursive,2020,georgia
13057090103,10,2121,192,recursive,2020,georgia
13057090704,10,3777,788,recursive,2020,georgia
13057090401,10,5566,3006,recursive,2020,georgia
13057090707,10,4423,1599,recursive,2020,georgia
13057091106,10,4832,1888,recursive,2020,georgia
13247060403,0,3749,2306,recursive,2020,georgia
13247060306,0,4259,3681,recursive,2020,georgia
13247060305,0,5597,4798,recursive,2020,georgia
13247060101,0,3605,1654,recursive,2020,georgia
13247060406,0,5509,3484,recursive,2020,georgia
13247060407,0,3599,2057,recursive,2020,georgia
13247060201,0,4703,3948,recursive,2020,georgia
13215011100,6,2502,1144,recursive,2020,georgia
13153021108,5,6793,2270,recursive,2020,georgia
13121011417,12,5115,1151,recursive,2020,georgia
13121011416,12,5612,1589,recursive,2020,georgia
13121011421,12,3933,2826,recursive,2020,georgia
13179990000,3,0,0,recursive,2020,georgia
13195020300,1,4581,1073,recursive,2020,georgia
13195020100,1,5398,610,recursive,2020,georgia
13195020400,1,6240,1852,recursive,2020,georgia
13195020600,1,2060,163,recursive,2020,georgia
13195020200,1,4278,519,recursive,2020,georgia
13285961000,5,5574,2647,recursive,2020,georgia
13285960300,2,4347,700,recursive,2020,georgia
13285960501,2,4890,3139,recursive,2020,georgia
13185010500,6,4022,3524,recursive,2020,georgia
13121011426,12,2432,1023,recursive,2020,georgia
13121011618,12,4647,2431,recursive,2020,georgia
13121011612,12,3462,1327,recursive,2020,georgia
13121007705,8,3969,3933,recursive,2020,georgia
13121009601,9,2979,1128,recursive,2020,georgia
13121010121,9,2518,814,recursive,2020,georgia
13185010601,6,6070,4206,recursive,2020,georgia
13117130105,13,2578,789,recursive,2020,georgia
13135050308,12,3800,1122,recursive,2020,georgia
13285960800,5,3173,2302,recursive,2020,georgia
13135050306,7,4307,3888,recursive,2020,georgia
13185011302,6,2243,1778,recursive,2020,georgia
13179010103,3,1827,965,recursive,2020,georgia
13179010205,3,4911,3524,recursive,2020,georgia
13285960901,5,4158,2926,recursive,2020,georgia
13185010900,6,1631,1350,recursive,2020,georgia
13089022800,7,4297,1450,recursive,2020,georgia
13089022900,7,4544,1797,recursive,2020,georgia
13115002100,11,4753,2537,recursive,2020,georgia
13185011402,6,2470,1503,recursive,2020,georgia
13285960600,2,5335,3522,recursive,2020,georgia
13285961100,5,2757,350,recursive,2020,georgia
13285960700,5,5506,3011,recursive,2020,georgia
13089021412,7,4050,1088,recursive,2020,georgia
13089023601,7,2756,1799,recursive,2020,georgia
13089021307,7,3951,2995,recursive,2020,georgia
13089021415,7,4175,1817,recursive,2020,georgia
13089021417,7,4310,3372,recursive,2020,georgia
13089021305,7,5526,4384,recursive,2020,georgia
13185011100,6,4084,2232,recursive,2020,georgia
13141480300,1,2725,1405,recursive,2020,georgia
13121011505,12,4316,924,recursive,2020,georgia
13121011422,12,3746,1204,recursive,2020,georgia
13121011424,12,5435,2036,recursive,2020,georgia
13185011301,6,4851,3413,recursive,2020,georgia
13089023000,7,2182,454,recursive,2020,georgia
13089023101,7,4281,3097,recursive,2020,georgia
13089023102,7,3289,1992,recursive,2020,georgia
13089021306,7,6076,5063,recursive,2020,georgia
13089021308,7,4380,3441,recursive,2020,georgia
13089021913,7,4854,4609,recursive,2020,georgia
13089022203,7,2435,1374,recursive,2020,georgia
13241970302,10,1591,178,recursive,2020,georgia
13121012300,9,2777,2104,recursive,2020,georgia
13089023214,0,6326,6217,recursive,2020,georgia
