GEOID,district,total_pop,minority_pop,method,year,state
28067950402,0,5354,3780,recursive,2020,mississippi
28067950302,1,3475,456,recursive,2020,mississippi
28067950301,1,4768,992,recursive,2020,mississippi
28067950401,1,3758,1590,recursive,2020,mississippi
28017950100,2,3651,2601,recursive,2020,mississippi
28017950200,2,3506,1337,recursive,2020,mississippi
28017950300,2,4783,2453,recursive,2020,mississippi
28153950200,0,4455,3109,recursive,2020,mississippi
28047000600,1,1496,369,recursive,2020,mississippi
28047000900,1,2925,1293,recursive,2020,mississippi
28007060600,3,3401,2208,recursive,2020,mississippi
28007060400,3,2735,854,recursive,2020,mississippi
28007060100,3,2424,692,recursive,2020,mississippi
28007060300,3,3095,1881,recursive,2020,mississippi
28007060500,3,3926,2345,recursive,2020,mississippi
28007060200,3,2308,499,recursive,2020,mississippi
28047001900,1,2870,1563,recursive,2020,mississippi
28047002300,1,2117,1509,recursive,2020,mississippi
28047002500,1,1835,758,recursive,2020,mississippi
28047002600,1,3799,3013,recursive,2020,mississippi
28143950102,2,3504,2999,recursive,2020,mississippi
28143950101,2,2190,1832,recursive,2020,mississippi
28113950102,0,4470,983,recursive,2020,mississippi
28089030107,3,2588,913,recursive,2020,mississippi
28157950201,0,2056,1588,recursive,2020,mississippi
28157950202,0,3181,2400,recursive,2020,mississippi
28047001600,1,3714,422,recursive,2020,mississippi
28047001800,1,2614,2247,recursive,2020,mississippi
28075010301,3,5587,1272,recursive,2020,mississippi
28075010400,0,2754,1194,recursive,2020,mississippi
28075001000,3,3811,2386,recursive,2020,mississippi
28075000200,0,2318,2178,recursive,2020,mississippi
28075000900,0,4497,3738,recursive,2020,mississippi
28075000700,0,3562,3253,recursive,2020,mississippi
28047002900,1,1724,232,recursive,2020,mississippi
28143950200,2,4082,3094,recursive,2020,mississippi
28151000701,3,3519,2768,recursive,2020,mississippi
28011950300,2,2904,2669,recursive,2020,mississippi
28011950200,2,2516,2178,recursive,2020,mississippi
28011950500,2,5104,2816,recursive,2020,mississippi
28011950400,2,3784,2787,recursive,2020,mississippi
28011950100,2,3088,2719,recursive,2020,mississippi
28071950201,3,3363,784,recursive,2020,mississippi
28071950502,3,2694,618,recursive,2020,mississippi
28151000702,3,3587,1962,recursive,2020,mississippi
28009950200,2,2224,347,recursive,2020,mississippi
28067950700,0,3037,1857,recursive,2020,mississippi
28067951000,0,3975,1870,recursive,2020,mississippi
28067950500,1,3839,2643,recursive,2020,mississippi
28121020210,3,5061,699,recursive,2020,mississippi
28121020208,0,6606,1125,recursive,2020,mississippi
28121020212,3,3606,770,recursive,2020,mississippi
28121020209,3,4505,759,recursive,2020,mississippi
28121980000,0,72,27,recursive,2020,mississippi
28047003512,1,3423,437,recursive,2020,mississippi
28047003215,1,4666,2824,recursive,2020,mississippi
28047003406,1,3478,1193,recursive,2020,mississippi
28047003209,1,4968,2454,recursive,2020,mississippi
28047003212,1,2319,1298,recursive,2020,mississippi
28047003511,1,2477,262,recursive,2020,mississippi
28047003510,1,4094,1427,recursive,2020,mississippi
28047003213,1,3867,1692,recursive,2020,mississippi
28047003001,1,2032,1395,recursive,2020,mississippi
28047003002,1,2003,553,recursive,2020,mississippi
28047003306,1,1676,696,recursive,2020,mississippi
28047003409,1,3567,562,recursive,2020,mississippi
28047003408,1,2151,239,recursive,2020,mississippi
28047003514,1,6029,1409,recursive,2020,mississippi
