GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
04013422625,04,013,422625,4405,1986,2419,3039,125,47,1002,192
04013422626,04,013,422626,2719,1174,1545,2235,32,19,351,82
04013422627,04,013,422627,3576,1802,1774,2079,40,27,1243,187
04013422628,04,013,422628,4065,1950,2115,2266,201,44,1243,311
04013422629,04,013,422629,3577,1752,1825,2319,113,40,835,270
04013422630,04,013,422630,4783,2344,2439,3055,47,35,1399,247
04013422632,04,013,422632,4098,1976,2122,2949,79,55,833,182
04013422633,04,013,422633,3075,1534,1541,1795,181,197,674,228
04013422634,04,013,422634,5457,2693,2764,2991,88,89,2022,267
04013422636,04,013,422636,3267,1607,1660,2019,168,193,654,233
04013422637,04,013,422637,3597,1785,1812,2496,107,70,694,230
04013422638,04,013,422638,4260,2062,2198,2460,245,229,978,348
04013422639,04,013,422639,3687,1628,2059,3335,55,77,135,85
04013422640,04,013,422640,5077,2442,2635,3568,157,166,839,347
04013422642,04,013,422642,5886,2842,3044,4185,221,206,976,298
04013422643,04,013,422643,5862,2936,2926,4065,127,138,1150,382
04013422647,04,013,422647,9208,4541,4667,6271,369,483,1478,607
04013422648,04,013,422648,5827,2879,2948,3971,185,326,937,408
04013422649,04,013,422649,6397,3188,3209,4367,207,190,1261,372
04013422650,04,013,422650,2900,1381,1519,2318,44,43,382,113
04013422651,04,013,422651,5260,2582,2678,3612,217,245,889,297
04013422652,04,013,422652,2781,1227,1554,2662,7,11,64,37
04013422653,04,013,422653,4602,2246,2356,3040,127,124,1060,251
04013422654,04,013,422654,5858,2912,2946,3897,142,226,1139,454
04013422655,04,013,422655,3529,1704,1825,2240,129,88,817,255
04013615201,04,013,615201,5839,2863,2976,3940,208,706,599,386
04013615002,04,013,615002,5033,2402,2631,3727,101,513,423,269
04013615100,04,013,615100,4714,2293,2421,3496,107,494,365,252
04013615202,04,013,615202,3854,1894,1960,3077,83,252,287,155
04013615300,04,013,615300,2085,933,1152,1765,14,23,211,72
04013615400,04,013,615400,2756,1217,1539,2559,21,26,85,65
04013615500,04,013,615500,2988,1247,1741,2785,37,33,84,49
04013615600,04,013,615600,3891,1769,2122,3302,87,99,288,115
04013615700,04,013,615700,3073,1459,1614,2292,115,148,382,136
04013615800,04,013,615800,5088,2505,2583,3770,186,251,619,262
04013616500,04,013,616500,3838,1958,1880,2358,164,126,887,303
04013616600,04,013,616600,5698,2856,2842,3712,179,129,1377,301
04013616700,04,013,616700,5315,2668,2647,3628,169,195,987,336
04013616800,04,013,616800,5865,2922,2943,3911,133,92,1414,315
04013616900,04,013,616900,4396,2158,2238,2981,220,307,622,266
04013617001,04,013,617001,8,5,3,5,1,0,2,0
04013617002,04,013,617002,6177,2943,3234,4037,155,297,1388,300
04013617100,04,013,617100,2275,1108,1167,1732,56,95,268,124
04013617200,04,013,617200,2521,1232,1289,1899,48,158,264,152
04013617300,04,013,617300,3018,1443,1575,2068,77,379,332,162
04013617400,04,013,617400,7573,3322,4251,6280,197,145,639,312
04013617500,04,013,617500,3977,1696,2281,3423,84,75,263,132
04013617600,04,013,617600,6285,2883,3402,4551,216,205,968,345
04013617700,04,013,617700,3473,1641,1832,2049,322,182,698,222
04013617800,04,013,617800,2661,1354,1307,2122,28,66,328,117
04013617900,04,013,617900,2742,1334,1408,2088,51,141,314,148
04013618000,04,013,618000,4476,2218,2258,3172,106,194,724,280
04013618100,04,013,618100,4415,2101,2314,3300,92,96,632,295
04013618200,04,013,618200,3928,1912,2016,2652,149,88,782,257
04013618300,04,013,618300,3119,1537,1582,2240,61,41,569,208
04013618400,04,013,618400,4022,1998,2024,2501,127,89,1059,246
04013618500,04,013,618500,4026,1995,2031,2295,321,68,1018,324
04013618600,04,013,618600,4938,2421,2517,2806,250,204,1360,318
04013618700,04,013,618700,3005,1540,1465,1581,64,90,1097,173
04013618800,04,013,618800,5349,2742,2607,2280,598,55,2000,416
04013618900,04,013,618900,6858,3241,3617,4292,381,239,1491,455
04013615900,04,013,615900,4328,2120,2208,3060,121,323,565,259
04013616000,04,013,616000,2408,1161,1247,1593,58,287,315,155
04013616100,04,013,616100,3905,1858,2047,2721,120,128,672,264
04013616200,04,013,616200,3353,1678,1675,2334,116,120,610,173
04013616300,04,013,616300,2125,1083,1042,1542,39,80,367,97
04013616400,04,013,616400,6300,3101,3199,3519,140,1622,675,344
04019004438,04,019,004438,3542,1747,1795,2144,70,164,948,216
04019004439,04,019,004439,3208,1606,1602,1904,91,252,810,151
04019004440,04,019,004440,4758,2316,2442,2893,65,219,1320,261
04019004505,04,019,004505,3961,1897,2064,1705,73,133,1886,164
04019004506,04,019,004506,5076,2472,2604,2216,51,79,2545,185
04019004508,04,019,004508,4331,2183,2148,2229,99,63,1755,185
04019004510,04,019,004510,4195,2104,2091,1761,214,385,1585,250
04019004511,04,019,004511,4607,2166,2441,1997,198,165,1921,326
04019004512,04,019,004512,4198,2043,2155,2061,50,49,1841,197
04019004513,04,019,004513,3151,1516,1635,1483,49,54,1437,128
04019004514,04,019,004514,3669,1860,1809,1444,79,38,1932,176
04019004515,04,019,004515,3866,1933,1933,1137,115,183,2248,183
04019004610,04,019,004610,6655,3234,3421,3556,160,395,2171,373
04019004613,04,019,004613,4017,1960,2057,2238,136,92,1323,228
04019004614,04,019,004614,3436,1629,1807,2549,42,78,621,146
04019004615,04,019,004615,3377,1640,1737,2376,53,154,619,175
04019004616,04,019,004616,4496,2056,2440,2881,108,357,976,174
04019004617,04,019,004617,3249,1512,1737,2069,117,113,786,164
04019004618,04,019,004618,3404,1588,1816,2007,67,265,911,154
04019004619,04,019,004619,3413,1603,1810,2621,56,79,478,179
04019004620,04,019,004620,1852,906,946,1281,25,34,413,99
04019004621,04,019,004621,2452,1074,1378,1967,17,60,318,90
04019004622,04,019,004622,2996,1413,1583,2047,68,83,669,129
04019004623,04,019,004623,6316,3069,3247,4252,154,267,1357,286
04019004624,04,019,004624,6024,2951,3073,3581,129,227,1778,309
04019004625,04,019,004625,2030,1002,1028,1152,54,137,590,97
04019004626,04,019,004626,3574,1698,1876,1979,160,154,1052,229
04019004627,04,019,004627,2735,1379,1356,1590,39,94,865,147
