GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
09013530500,09,013,530500,3236,1536,1700,2640,133,105,221,137
09013530301,09,013,530301,5532,2576,2956,3664,569,306,686,307
09013530302,09,013,530302,6240,3038,3202,4550,257,751,483,199
09013530400,09,013,530400,4118,1954,2164,2769,303,437,425,184
09013530600,09,013,530600,2544,1266,1278,2185,47,61,138,113
09013533102,09,013,533102,5562,2786,2776,4792,76,179,257,258
09013533103,09,013,533103,4026,1941,2085,3552,44,79,201,150
09013533104,09,013,533104,4975,2506,2469,4320,91,177,185,202
09013535101,09,013,535101,5533,2674,2859,4333,151,640,253,156
09013535102,09,013,535102,4153,2112,2041,3708,54,63,164,164
09013535200,09,013,535200,6740,3376,3364,5470,165,548,268,289
09013538100,09,013,538100,1300,1291,9,457,522,13,308,0
09013538201,09,013,538201,5007,2518,2489,4576,64,69,156,142
09013538202,09,013,538202,3948,1948,2000,3608,24,46,127,143
09013840100,09,013,840100,5566,2859,2707,4640,76,324,260,266
09013850100,09,013,850100,5586,2817,2769,4977,47,63,224,275
09013850200,09,013,850200,6649,3260,3389,5906,44,105,288,306
09013860100,09,013,860100,5272,2616,2656,4763,47,31,212,219
09013881100,09,013,881100,4977,2337,2640,3827,93,571,237,249
09013881200,09,013,881200,9522,4524,4998,6195,675,1289,1018,345
09013881300,09,013,881300,5349,2740,2609,3532,318,819,466,214
09013881500,09,013,881500,6044,2969,3075,4027,159,1101,485,272
09013890100,09,013,890100,3696,1772,1924,3082,65,68,243,238
09013890202,09,013,890202,4949,2502,2447,4489,20,33,160,247
09013890203,09,013,890203,785,396,389,711,2,6,23,43
09013890204,09,013,890204,2827,1406,1421,2572,13,16,97,129
09015800300,09,015,800300,5958,2704,3254,2782,405,393,2137,241
09015800400,09,015,800400,3910,1983,1927,1728,138,35,1822,187
09015800501,09,015,800501,3804,1645,2159,2008,75,43,1500,178
09015800502,09,015,800502,3149,1568,1581,2531,41,11,414,152
09015800600,09,015,800600,4187,2185,2002,952,145,41,2938,111
09015800700,09,015,800700,3417,1656,1761,1535,93,276,1388,125
09015815000,09,015,815000,2151,1087,1064,1877,25,7,121,121
09015820000,09,015,820000,1728,906,822,1563,5,12,58,90
09015825000,09,015,825000,1576,796,780,1449,5,0,60,62
09015830100,09,015,830100,4191,2068,2123,3702,55,58,186,190
09015900100,09,015,900100,4422,2242,2180,4061,16,36,92,217
09015900200,09,015,900200,4767,2368,2399,4203,56,41,207,260
09003416700,09,003,416700,6877,3260,3617,2691,816,256,2908,206
09003416400,09,003,416400,3152,1509,1643,2003,287,54,682,126
09003416500,09,003,416500,4833,2364,2469,1813,589,129,2127,175
09003416600,09,003,416600,3150,1408,1742,877,361,20,1800,92
09003416800,09,003,416800,3079,1544,1535,1515,282,99,1069,114
09003417100,09,003,417100,1857,967,890,424,288,30,1045,70
09003417200,09,003,417200,1702,837,865,755,256,85,516,90
09003417300,09,003,417300,2045,1047,998,1194,395,52,290,114
09003417400,09,003,417400,3012,1481,1531,1536,408,463,489,116
09003417500,09,003,417500,4333,2113,2220,2672,385,133,983,160
09003420400,09,003,420400,3021,1472,1549,2573,59,98,193,98
09003420500,09,003,420500,5321,2647,2674,3946,186,152,773,264
09003420601,09,003,420601,2596,1221,1375,1977,77,74,343,125
09003420602,09,003,420602,3224,1548,1676,2531,100,101,367,125
09003420700,09,003,420700,3363,1664,1699,2884,67,65,222,125
09003430100,09,003,430100,4141,1887,2254,3539,46,85,321,150
09003430201,09,003,430201,3373,1660,1713,2794,50,221,194,114
09003430202,09,003,430202,4616,2304,2312,4129,41,104,197,145
09003430203,09,003,430203,4024,1869,2155,3667,37,64,160,96
09003430301,09,003,430301,3855,1905,1950,3333,63,138,178,143
09003430302,09,003,430302,2878,1447,1431,2530,37,68,152,91
09003430400,09,003,430400,5092,2348,2744,4381,84,169,283,175
09003430501,09,003,430501,1705,767,938,1438,35,49,106,77
09003430502,09,003,430502,5157,2567,2590,4615,57,106,209,170
09003430602,09,003,430602,3451,1652,1799,2909,42,119,229,152
09003430603,09,003,430603,2170,967,1203,1635,80,101,250,104
09003430604,09,003,430604,3039,1485,1554,2579,37,162,138,123
09003460100,09,003,460100,3441,1580,1861,2487,110,547,170,127
09003460202,09,003,460202,4820,2349,2471,3493,196,633,311,187
09003460203,09,003,460203,3313,1544,1769,2230,102,660,171,150
09003460204,09,003,460204,6190,2842,3348,4180,186,1238,331,255
09003460301,09,003,460301,5025,2442,2583,4022,137,372,311,183
09003460302,09,003,460302,3923,1891,2032,3013,91,405,233,181
09003462101,09,003,462101,6151,2908,3243,4918,120,494,322,297
09003462102,09,003,462102,4391,2160,2231,3101,99,788,191,212
09003462201,09,003,462201,5439,2545,2894,4333,103,492,283,228
09003462202,09,003,462202,2951,1437,1514,2079,74,544,120,134
09003464101,09,003,464101,5185,2614,2571,4622,81,69,212,201
09003464102,09,003,464102,4939,2322,2617,4358,61,128,201,191
09003466101,09,003,466101,5675,2683,2992,4782,73,290,303,227
09009345100,09,009,345100,6858,3326,3532,4662,528,222,974,472
09009343400,09,009,343400,6665,3306,3359,5477,141,483,334,230
09009344100,09,009,344100,4656,2250,2406,4095,31,146,215,169
09009344200,09,009,344200,2918,1403,1515,2465,36,231,117,69
09009345201,09,009,345201,7148,3498,3650,4833,475,137,1125,578
09009345202,09,009,345202,4065,1951,2114,2927,251,133,508,246
09009345300,09,009,345300,6330,3176,3154,4111,416,118,1142,543
09009345400,09,009,345400,7118,3410,3708,4833,525,139,1122,499
09009346101,09,009,346101,6722,3313,3409,5986,55,103,368,210
09009346102,09,009,346102,5984,2963,3021,5268,73,115,313,215
09009347100,09,009,347100,5712,2798,2914,5053,131,68,245,215
09009347200,09,009,347200,3689,1795,1894,3278,75,26,181,129
09009348111,09,009,348111,2455,1280,1175,2191,36,51,98,79
09009348122,09,009,348122,4198,2103,2095,3637,46,116,223,176
09009348123,09,009,348123,5686,2889,2797,4934,47,198,272,235
09009348124,09,009,348124,2534,961,1573,2311,21,44,88,70
09009348125,09,009,348125,5006,1993,3013,4552,50,147,149,108
09009350101,09,009,350101,4697,2282,2415,859,803,139,2762,134
09009350200,09,009,350200,3695,1814,1881,388,1086,28,2023,170
09009350300,09,009,350300,2235,1071,1164,137,565,12,1419,102
09009350400,09,009,350400,2846,1429,1417,204,766,5,1719,152
09009350500,09,009,350500,2693,1288,1405,303,338,61,1760,231
09009350800,09,009,350800,6010,2931,3079,1656,1505,29,2540,280
09009350900,09,009,350900,2180,1057,1123,742,555,14,704,165
09009351000,09,009,351000,4107,1922,2185,1013,908,46,1888,252
09009351100,09,009,351100,4341,2113,2228,1017,1244,61,1774,245
09009351200,09,009,351200,4146,2004,2142,583,1048,55,2222,238
09009351300,09,009,351300,5557,2667,2890,1753,1165,179,2138,322
09009351400,09,009,351400,4087,1991,2096,901,696,82,2132,276
09009351500,09,009,351500,4975,2403,2572,1791,693,115,1868,508
09009351601,09,009,351601,3541,1701,1840,1570,513,32,1204,222
09009351602,09,009,351602,6201,2943,3258,3551,743,104,1408,395
09009352100,09,009,352100,4359,2053,2306,1828,844,87,1318,282
09009352200,09,009,352200,2582,1157,1425,367,512,34,1557,112
09009352300,09,009,352300,3106,1496,1610,763,706,24,1426,187
09009352400,09,009,352400,3461,1593,1868,979,764,85,1456,177
09009352500,09,009,352500,3084,1454,1630,1180,626,63,999,216
09009352600,09,009,352600,5450,2612,2838,2293,989,151,1731,286
09009351700,09,009,351700,3015,1457,1558,599,686,35,1501,194
09009351800,09,009,351800,4403,2128,2275,2282,650,120,1104,247
09009351900,09,009,351900,2840,1365,1475,1768,347,122,464,139
09009352000,09,009,352000,4996,2459,2537,2701,623,128,1247,297
09001035300,09,001,035300,4114,2051,2063,3464,33,246,166,205
09001035101,09,001,035101,3663,1687,1976,2700,140,298,368,157
